settlement_date,participant_id,run_type,energy_amount_aud,fcas_amount_aud,interconnector_residue_aud,total_aud,settlement_status
2024-08-08,GLENCORE,PRELIMINARY,64675.64,-109204.0,-12673.98,-57202.34,PENDING
2024-07-25,AGL_ENERGY,FINAL,1063771.59,99111.05,14120.38,1177003.02,FINAL
2025-11-13,ENGIE,REVISED,101198.83,217388.98,24086.6,342674.41,FINAL
2023-11-23,STANWELL,FINAL,-3856154.92,8357.13,-6389.44,-3854187.23,FINAL
2024-05-09,CS_ENERGY,FINAL,209581.12,33973.07,11817.84,255372.03,FINAL
2025-05-08,ERM_POWER,FINAL,309455.0,80384.5,16147.26,405986.76,FINAL
2025-02-20,DELTA_ELECTRICITY,FINAL,667065.25,13798.28,-42096.21,638767.32,FINAL
2024-01-18,STANWELL,PRELIMINARY,-238439.04,56744.07,-44370.73,-226065.7,PENDING
2024-04-25,STANWELL,FINAL,333478.59,6217.94,-2545.95,337150.58,FINAL
2023-11-30,HYDRO_TASMANIA,FINAL,633913.26,25384.28,-31825.06,627472.48,FINAL
2025-07-31,WIND_LAB_NS,FINAL,349311.35,-20426.22,14006.37,342891.5,FINAL
2024-08-08,ORIGIN,FINAL,2056001.91,12539.61,23177.9,2091719.42,FINAL
2024-01-18,WIND_LAB_NS,FINAL,515916.66,46918.2,4712.83,567547.69,DISPUTED
2024-02-29,ERM_POWER,FINAL,262423.12,29683.21,5845.17,297951.5,FINAL
2024-03-14,ERM_POWER,REVISED,456384.85,32865.66,-12594.44,476656.07,PENDING
2025-07-10,WIND_LAB_NS,FINAL,724122.48,46231.04,-19895.8,750457.72,FINAL
2025-08-14,ENGIE,FINAL,411769.4,36429.43,26626.88,474825.71,FINAL
2024-03-21,ENGIE,FINAL,298335.88,11005.49,22273.46,331614.83,FINAL
2025-11-06,HYDRO_TASMANIA,FINAL,-127630.13,31492.45,-168.73,-96306.41,FINAL
2024-10-03,CS_ENERGY,FINAL,4267726.37,48900.91,1470.47,4318097.75,FINAL
2024-10-10,ERM_POWER,FINAL,2012185.08,12462.09,4746.36,2029393.53,FINAL
2024-03-07,AGL_ENERGY,FINAL,88024.03,19425.66,-710.18,106739.51,FINAL
2023-11-16,HYDRO_TASMANIA,FINAL,-534415.86,6142.96,20584.0,-507688.9,FINAL
2024-11-07,SNOWY_HYDRO,FINAL,-100707.71,133553.26,-6767.61,26077.94,FINAL
2023-12-28,ERM_POWER,REVISED,-578618.45,14106.63,-12200.14,-576711.96,FINAL
2025-01-09,ENERGY_AUSTRALIA,FINAL,-2176006.8,22678.07,31817.65,-2121511.08,FINAL
2025-10-16,CS_ENERGY,PRELIMINARY,192384.71,-9667.08,20876.16,203593.79,PENDING
2024-04-04,HYDRO_TASMANIA,REVISED,79885.2,124700.56,24872.76,229458.52,PENDING
2024-11-21,ORIGIN,REVISED,-97543.35,88848.65,10226.97,1532.27,PENDING
2024-01-11,AGL_ENERGY,FINAL,-425091.69,30569.3,16912.09,-377610.3,FINAL
2025-04-10,STANWELL,FINAL,731210.11,30213.47,474.34,761897.92,FINAL
2024-02-15,GLENCORE,FINAL,534615.79,8140.65,-1371.59,541384.85,FINAL
2023-12-21,HYDRO_TASMANIA,REVISED,-379991.3,23635.84,-18487.3,-374842.76,PENDING
2025-04-03,ENERGY_AUSTRALIA,REVISED,438743.64,6940.08,-8053.09,437630.63,FINAL
2025-04-24,STANWELL,FINAL,421616.61,8438.9,22132.2,452187.71,FINAL
2025-07-31,GLENCORE,FINAL,1481234.66,68945.32,23671.65,1573851.63,FINAL
2024-08-29,HYDRO_TASMANIA,REVISED,-160844.59,-29731.56,3655.08,-186921.07,FINAL
2025-02-20,ERM_POWER,FINAL,633389.19,-28513.24,-9149.48,595726.47,FINAL
2024-11-14,STANWELL,PRELIMINARY,90821.11,9607.82,-9565.06,90863.87,PENDING
2025-10-02,ORIGIN,FINAL,-335145.8,-24578.22,-13906.95,-373630.97,DISPUTED
2024-05-09,WIND_LAB_NS,REVISED,115779.14,-12954.97,-10222.86,92601.31,FINAL
2025-08-21,WIND_LAB_NS,PRELIMINARY,577776.06,3940.61,-3459.15,578257.52,PENDING
2024-03-28,STANWELL,FINAL,381909.91,12330.71,6147.97,400388.59,FINAL
2024-04-25,ORIGIN,FINAL,1379427.62,15191.61,5635.21,1400254.44,FINAL
2025-02-27,WIND_LAB_NS,FINAL,221853.19,-16171.67,9400.26,215081.78,FINAL
2024-01-04,NEOEN,FINAL,-94034.3,12657.7,-7609.87,-88986.47,FINAL
2024-11-28,ERM_POWER,REVISED,28799.48,47842.66,32981.65,109623.79,FINAL
2025-03-13,ACCIONA,REVISED,13912995.06,-70181.76,3520.03,13846333.33,FINAL
2024-06-06,NEOEN,FINAL,-723520.21,16249.17,-14845.25,-722116.29,FINAL
2024-03-14,ACCIONA,PRELIMINARY,64395.33,38630.5,1205.29,104231.12,PENDING
2025-11-13,ERM_POWER,FINAL,-117385.6,4920.43,-454.41,-112919.58,FINAL
2025-05-22,STANWELL,REVISED,186463.14,8832.01,7070.09,202365.24,PENDING
2025-04-03,ENERGY_AUSTRALIA,FINAL,426000.68,3831.07,-14017.7,415814.05,FINAL
2024-09-05,WIND_LAB_NS,REVISED,437707.0,11544.16,-4248.87,445002.29,FINAL
2025-07-03,ENGIE,PRELIMINARY,245924.53,8646.19,31844.18,286414.9,PENDING
2024-02-08,ERM_POWER,FINAL,-97030.15,25606.67,-2831.93,-74255.41,FINAL
2025-07-17,AGL_ENERGY,PRELIMINARY,-263525.29,26722.09,11607.56,-225195.64,PENDING
2025-07-17,NEOEN,PRELIMINARY,-595930.57,-8584.41,-2235.7,-606750.68,PENDING
2025-06-05,AGL_ENERGY,FINAL,173459.86,-10904.75,3544.96,166100.07,FINAL
2024-07-11,HYDRO_TASMANIA,FINAL,1169516.11,6115.98,-3503.27,1172128.82,FINAL
2025-07-03,ENERGY_AUSTRALIA,REVISED,-96780.5,21538.83,-10007.25,-85248.92,FINAL
2024-01-04,AGL_ENERGY,REVISED,1232291.41,30861.51,4054.02,1267206.94,PENDING
2024-02-22,STANWELL,REVISED,-139122.6,-24290.01,-9757.64,-173170.25,FINAL
2024-09-19,WIND_LAB_NS,FINAL,304833.84,3613.38,-1800.3,306646.92,FINAL
2025-05-22,STANWELL,PRELIMINARY,666258.29,9167.0,-5625.02,669800.27,PENDING
2024-02-08,WIND_LAB_NS,FINAL,37234.61,-34750.94,16642.08,19125.75,FINAL
2025-03-20,AGL_ENERGY,FINAL,-1048434.58,7127.11,-6221.77,-1047529.24,FINAL
2024-06-06,DELTA_ELECTRICITY,FINAL,19706.74,14853.78,27480.28,62040.8,DISPUTED
2024-07-25,DELTA_ELECTRICITY,FINAL,-165029.72,50769.77,-2687.08,-116947.03,FINAL
2025-04-17,ORIGIN,PRELIMINARY,176530.3,6904.4,3509.29,186943.99,PENDING
2024-05-23,NEOEN,PRELIMINARY,613654.24,13111.43,-9286.24,617479.43,PENDING
2024-01-11,ORIGIN,FINAL,414137.78,8655.68,-23749.72,399043.74,FINAL
2025-06-19,STANWELL,FINAL,190129.13,-8533.56,-16687.49,164908.08,FINAL
2024-09-26,STANWELL,FINAL,719632.5,50135.31,6285.69,776053.5,FINAL
2024-09-12,ENERGY_AUSTRALIA,PRELIMINARY,1542622.26,1965.19,-2312.86,1542274.59,PENDING
2024-01-04,NEOEN,FINAL,411337.24,64496.32,-14366.28,461467.28,FINAL
2024-10-31,ENGIE,FINAL,-155246.12,77324.15,-3949.12,-81871.09,FINAL
2024-10-24,HYDRO_TASMANIA,FINAL,1232048.19,-54762.43,-17907.85,1159377.91,DISPUTED
2025-02-06,CS_ENERGY,FINAL,2002240.22,-12362.82,33164.91,2023042.31,FINAL
2025-04-03,GLENCORE,REVISED,511663.99,16805.44,-28492.19,499977.24,FINAL
2023-11-30,AGL_ENERGY,REVISED,679622.45,-4546.82,-3221.58,671854.05,FINAL
2023-11-23,SNOWY_HYDRO,REVISED,38957.1,16722.6,-8093.28,47586.42,PENDING
2024-05-23,NEOEN,REVISED,1650451.56,43111.72,5729.42,1699292.7,PENDING
2024-02-15,ERM_POWER,FINAL,196502.84,35615.96,7235.37,239354.17,FINAL
2025-06-26,ENGIE,FINAL,1010581.14,-8348.6,13262.97,1015495.51,FINAL
2024-02-08,ORIGIN,PRELIMINARY,-1373744.71,34836.01,-14961.78,-1353870.48,PENDING
2025-06-12,NEOEN,FINAL,130351.56,-11916.77,-2361.72,116073.07,PENDING
2025-09-25,ACCIONA,FINAL,173373.58,46065.32,-5310.38,214128.52,FINAL
2024-03-28,ORIGIN,PRELIMINARY,193971.25,-15246.58,23808.47,202533.14,PENDING
2025-10-23,ENERGY_AUSTRALIA,FINAL,79700.48,42814.25,9984.9,132499.63,FINAL
2024-12-26,STANWELL,FINAL,-1820839.51,15889.87,-32395.11,-1837344.75,FINAL
2025-04-03,GLENCORE,REVISED,381802.69,2948.97,13308.53,398060.19,FINAL
2024-10-31,AGL_ENERGY,REVISED,-1157033.34,14010.44,-3408.34,-1146431.24,FINAL
2024-04-18,WIND_LAB_NS,PRELIMINARY,2267024.31,4009.32,-1197.91,2269835.72,PENDING
2024-10-10,STANWELL,FINAL,731678.27,62355.74,13448.4,807482.41,DISPUTED
2023-12-07,HYDRO_TASMANIA,FINAL,2653754.53,25193.81,20490.56,2699438.9,FINAL
2025-10-30,STANWELL,FINAL,230241.56,67263.32,2980.54,300485.42,FINAL
2024-12-05,HYDRO_TASMANIA,FINAL,158383.08,-28249.01,-13118.94,117015.13,FINAL
2025-02-27,WIND_LAB_NS,PRELIMINARY,365479.47,15207.78,25990.01,406677.26,PENDING
2025-08-21,AGL_ENERGY,FINAL,405107.67,11480.79,-10124.11,406464.35,FINAL
2024-02-22,ACCIONA,FINAL,715731.61,35933.45,17196.31,768861.37,FINAL
2024-01-25,HYDRO_TASMANIA,FINAL,867194.16,41240.12,-25289.41,883144.87,FINAL
2025-01-09,ENERGY_AUSTRALIA,FINAL,832227.28,13603.53,1608.41,847439.22,FINAL
2025-09-18,WIND_LAB_NS,REVISED,9594.37,-38100.72,-8228.57,-36734.92,PENDING
2024-10-17,ENGIE,FINAL,1118068.68,7861.67,22172.74,1148103.09,FINAL
2025-10-30,ACCIONA,REVISED,-221088.32,43700.07,19092.36,-158295.89,FINAL
2025-06-26,ORIGIN,FINAL,666121.27,36661.33,6495.13,709277.73,FINAL
2023-12-28,ENERGY_AUSTRALIA,FINAL,764254.33,-15641.17,-2080.46,746532.7,FINAL
2024-06-06,ENERGY_AUSTRALIA,FINAL,626567.77,9416.14,-687.37,635296.54,FINAL
2024-07-18,ERM_POWER,FINAL,132966.43,-10857.62,-12131.17,109977.64,FINAL
2025-02-27,HYDRO_TASMANIA,PRELIMINARY,1607352.1,22518.97,-7464.38,1622406.69,PENDING
2025-04-10,ENGIE,FINAL,-779853.34,-50886.13,-4613.92,-835353.39,FINAL
2025-09-04,AGL_ENERGY,PRELIMINARY,686075.35,6138.35,-14721.44,677492.26,PENDING
2024-07-18,HYDRO_TASMANIA,FINAL,336802.93,-24100.24,-10200.72,302501.97,FINAL
2024-12-12,ERM_POWER,REVISED,-1542196.45,3690.2,313.97,-1538192.28,FINAL
2025-08-14,SNOWY_HYDRO,PRELIMINARY,-698685.76,-27192.29,-14910.69,-740788.74,PENDING
2025-02-06,ORIGIN,FINAL,-107622.46,15137.85,20914.63,-71569.98,FINAL
2024-05-09,AGL_ENERGY,FINAL,-488094.74,54266.71,-14543.63,-448371.66,FINAL
2025-05-01,SNOWY_HYDRO,FINAL,1823318.6,2402.03,22918.88,1848639.51,FINAL
2025-04-17,ORIGIN,FINAL,493705.11,74164.69,17253.8,585123.6,FINAL
2025-06-19,ENERGY_AUSTRALIA,FINAL,2094528.42,63335.71,9312.4,2167176.53,FINAL
2024-10-17,GLENCORE,FINAL,-228019.34,-21608.65,-9982.67,-259610.66,FINAL
2025-02-27,SNOWY_HYDRO,PRELIMINARY,-139911.29,17706.61,7118.16,-115086.52,PENDING
2024-06-20,GLENCORE,FINAL,252011.84,9391.53,144.77,261548.14,FINAL
2024-10-24,NEOEN,REVISED,40179.64,-37290.77,8806.34,11695.21,FINAL
2024-11-21,ERM_POWER,PRELIMINARY,1813241.72,10477.34,14544.64,1838263.7,PENDING
2025-03-27,STANWELL,FINAL,862059.56,37722.12,500.63,900282.31,FINAL
2025-09-18,AGL_ENERGY,REVISED,-5079455.06,-28765.98,4659.0,-5103562.04,PENDING
2025-02-13,WIND_LAB_NS,REVISED,396702.04,19879.67,-1458.85,415122.86,FINAL
2025-10-09,WIND_LAB_NS,FINAL,924068.13,24008.06,-12826.38,935249.81,FINAL
2024-12-05,NEOEN,FINAL,850541.44,-64920.64,-23689.53,761931.27,FINAL
2025-04-03,NEOEN,REVISED,899761.75,10349.21,-10064.96,900046.0,PENDING
2024-05-02,ENERGY_AUSTRALIA,FINAL,210855.38,26773.27,13593.37,251222.02,FINAL
2024-02-29,ORIGIN,REVISED,395659.16,-11309.72,-3103.88,381245.56,FINAL
2025-07-03,ENERGY_AUSTRALIA,FINAL,-537622.39,4481.65,11138.96,-522001.78,FINAL
2024-03-28,ORIGIN,FINAL,-147773.72,10222.04,21653.69,-115897.99,FINAL
2025-01-30,ENGIE,FINAL,40556.59,9238.14,3066.33,52861.06,FINAL
2024-06-13,HYDRO_TASMANIA,REVISED,-268421.46,8054.88,40001.6,-220364.98,FINAL
2025-04-10,DELTA_ELECTRICITY,REVISED,514086.38,30720.42,35390.35,580197.15,FINAL
2024-03-14,HYDRO_TASMANIA,FINAL,-1350255.52,28487.24,12399.48,-1309368.8,DISPUTED
2024-04-25,STANWELL,FINAL,77379.52,-20290.74,7542.19,64630.97,FINAL
2024-07-04,SNOWY_HYDRO,FINAL,968438.14,-13900.19,-10537.79,944000.16,FINAL
2025-08-07,GLENCORE,REVISED,118093.73,40684.88,15992.12,174770.73,FINAL
2024-10-10,HYDRO_TASMANIA,REVISED,-472243.62,50161.56,-13994.96,-436077.02,FINAL
2025-04-03,DELTA_ELECTRICITY,REVISED,70089.64,18377.58,-420.6,88046.62,FINAL
2025-08-14,HYDRO_TASMANIA,FINAL,4274163.26,40571.39,-22232.5,4292502.15,FINAL
2024-10-03,SNOWY_HYDRO,FINAL,117237.43,17013.49,-6097.97,128152.95,FINAL
2025-08-28,ENGIE,FINAL,62197.31,22394.68,-2338.76,82253.23,FINAL
2024-07-18,ENERGY_AUSTRALIA,PRELIMINARY,841324.78,14063.27,14586.89,869974.94,PENDING
2023-11-30,ACCIONA,FINAL,1296566.23,19050.98,-17035.73,1298581.48,FINAL
2025-05-22,CS_ENERGY,FINAL,-339466.55,-93230.61,-9191.02,-441888.18,FINAL
2025-05-01,ENERGY_AUSTRALIA,REVISED,-575754.98,13913.85,-10320.93,-572162.06,FINAL
2024-12-19,ENERGY_AUSTRALIA,PRELIMINARY,-1558429.71,41097.37,14611.97,-1502720.37,PENDING
2024-12-26,GLENCORE,FINAL,46292.65,9704.04,21561.39,77558.08,FINAL
2025-04-24,ORIGIN,REVISED,465995.83,17702.88,-20603.8,463094.91,PENDING
2025-07-03,CS_ENERGY,FINAL,207606.91,-30553.24,2131.12,179184.79,FINAL
2024-04-04,NEOEN,FINAL,4455893.44,25619.65,357.08,4481870.17,FINAL
2024-05-23,HYDRO_TASMANIA,FINAL,88566.88,208409.73,-14494.06,282482.55,FINAL
2025-10-02,ERM_POWER,REVISED,-2131589.05,6182.57,23163.05,-2102243.43,PENDING
2025-06-12,DELTA_ELECTRICITY,FINAL,210902.32,6160.55,-33344.91,183717.96,FINAL
2024-03-21,ORIGIN,PRELIMINARY,-2385590.36,63682.4,13522.59,-2308385.37,PENDING
2024-02-01,ACCIONA,REVISED,11786263.99,57066.18,11917.63,11855247.8,FINAL
2025-06-26,CS_ENERGY,FINAL,78196.7,29022.87,-1089.57,106130.0,FINAL
2025-07-17,DELTA_ELECTRICITY,FINAL,229428.86,32475.2,12521.03,274425.09,FINAL
2025-06-12,ENERGY_AUSTRALIA,FINAL,-975796.2,7204.84,-665.51,-969256.87,FINAL
2024-11-14,WIND_LAB_NS,REVISED,-64499.6,-7963.49,-21407.17,-93870.26,FINAL
2024-12-12,ERM_POWER,FINAL,858639.98,141003.83,-16077.62,983566.19,FINAL
2024-11-14,SNOWY_HYDRO,REVISED,193179.09,7678.3,-3464.58,197392.81,FINAL
2025-06-12,GLENCORE,PRELIMINARY,-1831136.08,30392.49,47702.02,-1753041.57,PENDING
2025-11-13,ENERGY_AUSTRALIA,FINAL,-1451479.03,19299.34,1776.55,-1430403.14,FINAL
2024-10-10,STANWELL,FINAL,310308.42,11484.34,-22737.37,299055.39,FINAL
2024-03-28,ERM_POWER,FINAL,297179.81,-12700.85,2305.71,286784.67,FINAL
2024-04-25,STANWELL,FINAL,-207765.57,-32297.68,-8020.49,-248083.74,FINAL
2023-12-07,ENGIE,REVISED,-184888.16,24406.93,-2202.47,-162683.7,FINAL
2024-05-23,WIND_LAB_NS,REVISED,-18802790.89,8035.45,13266.47,-18781488.97,FINAL
2024-04-11,AGL_ENERGY,REVISED,444140.25,246772.94,10364.42,701277.61,FINAL
2024-03-28,ACCIONA,FINAL,181222.24,31393.24,-30031.02,182584.46,FINAL
2024-04-25,ENGIE,FINAL,-301229.66,-36663.4,15364.7,-322528.36,FINAL
2025-08-21,STANWELL,FINAL,708641.73,-13393.01,11564.25,706812.97,FINAL
2024-03-21,ENERGY_AUSTRALIA,REVISED,105394.01,23947.87,7096.74,136438.62,FINAL
2025-05-15,SNOWY_HYDRO,FINAL,317434.63,-14923.92,13381.43,315892.14,PENDING
2024-10-03,GLENCORE,FINAL,702766.77,-22913.66,16862.2,696715.31,FINAL
2024-05-30,ENERGY_AUSTRALIA,REVISED,3677253.53,56030.23,-11120.54,3722163.22,DISPUTED
2025-01-09,NEOEN,PRELIMINARY,254191.53,9389.21,13496.57,277077.31,PENDING
2023-12-21,ACCIONA,REVISED,1847204.0,23092.37,-5050.15,1865246.22,FINAL
2025-11-06,ENERGY_AUSTRALIA,FINAL,622180.97,4585.07,-2096.21,624669.83,FINAL
2025-01-23,ORIGIN,REVISED,45370.62,-20163.53,-11554.79,13652.3,FINAL
2025-03-27,DELTA_ELECTRICITY,FINAL,-789930.76,19366.85,3319.74,-767244.17,DISPUTED
2025-01-30,DELTA_ELECTRICITY,FINAL,1003965.79,13271.87,-22453.32,994784.34,FINAL
2024-07-04,WIND_LAB_NS,FINAL,409739.44,12667.61,20359.57,442766.62,FINAL
2024-03-07,ENERGY_AUSTRALIA,REVISED,-97381.41,-2980.75,-11615.21,-111977.37,DISPUTED
2024-03-28,ENERGY_AUSTRALIA,FINAL,-942291.4,35241.49,-3513.93,-910563.84,FINAL
2025-09-18,ENGIE,REVISED,-597555.04,7592.57,14382.95,-575579.52,FINAL
2025-07-03,GLENCORE,FINAL,358400.99,-41852.28,-14037.68,302511.03,FINAL
2024-09-26,NEOEN,PRELIMINARY,445450.32,23577.63,-28789.8,440238.15,PENDING
2024-05-23,STANWELL,FINAL,-553100.48,-13971.44,-2918.77,-569990.69,FINAL
2025-06-05,WIND_LAB_NS,FINAL,-1273757.77,-11739.38,881.9,-1284615.25,FINAL
2025-06-12,ORIGIN,FINAL,165424.86,33478.74,-10725.48,188178.12,FINAL
2024-06-13,AGL_ENERGY,FINAL,715996.16,15178.13,17421.45,748595.74,FINAL
2025-06-19,ACCIONA,REVISED,325263.9,41271.62,15896.13,382431.65,FINAL
2024-10-24,ENERGY_AUSTRALIA,FINAL,275541.42,8959.46,-3436.12,281064.76,FINAL
2024-06-06,ENGIE,FINAL,366960.37,65394.04,25696.18,458050.59,FINAL
2024-08-22,HYDRO_TASMANIA,REVISED,339310.03,9918.23,-34772.82,314455.44,FINAL
2025-04-03,ORIGIN,FINAL,-164005.59,6361.62,-5790.59,-163434.56,FINAL
2024-11-28,HYDRO_TASMANIA,REVISED,443515.22,4174.93,-6679.09,441011.06,FINAL
2024-07-11,AGL_ENERGY,FINAL,281190.96,44839.34,9851.57,335881.87,FINAL
2024-05-23,ENGIE,REVISED,323039.18,75674.36,38171.69,436885.23,FINAL
2024-01-04,ERM_POWER,FINAL,-1474281.3,44504.76,3776.29,-1426000.25,FINAL
2024-12-05,ENERGY_AUSTRALIA,FINAL,45775.46,12888.03,-8195.92,50467.57,FINAL
2025-08-28,DELTA_ELECTRICITY,PRELIMINARY,203070.21,-18516.03,6708.9,191263.08,PENDING
2025-04-10,SNOWY_HYDRO,FINAL,802303.56,87442.93,26381.81,916128.3,FINAL
2025-04-03,DELTA_ELECTRICITY,FINAL,45753.98,14423.83,-5215.38,54962.43,FINAL
2024-04-11,NEOEN,FINAL,67255.18,3722.98,-5384.73,65593.43,FINAL
2025-10-02,ENERGY_AUSTRALIA,PRELIMINARY,271151.04,72340.0,33643.57,377134.61,PENDING
2024-12-26,STANWELL,FINAL,-512467.18,48526.39,2786.14,-461154.65,FINAL
2024-11-21,STANWELL,REVISED,456530.66,-16062.61,-10549.05,429919.0,FINAL
2025-07-17,ENGIE,FINAL,3942095.4,71445.32,28559.48,4042100.2,FINAL
2025-05-08,ORIGIN,FINAL,512993.85,29730.87,14584.85,557309.57,FINAL
2025-02-13,DELTA_ELECTRICITY,FINAL,217275.59,41714.36,-7987.77,251002.18,FINAL
2024-02-29,ENERGY_AUSTRALIA,PRELIMINARY,60546.38,110305.8,-3576.24,167275.94,PENDING
2024-09-26,GLENCORE,PRELIMINARY,9859661.27,40650.69,10549.32,9910861.28,PENDING
2024-07-11,CS_ENERGY,FINAL,3692824.92,86347.91,-10751.53,3768421.3,FINAL
2025-08-14,AGL_ENERGY,PRELIMINARY,376128.17,9532.86,-4237.44,381423.59,PENDING
2024-10-31,CS_ENERGY,REVISED,1708250.19,12954.92,-4804.67,1716400.44,FINAL
2024-08-08,ENGIE,FINAL,117993.39,28431.51,1845.21,148270.11,FINAL
2024-02-01,NEOEN,FINAL,1537705.12,50299.91,-17001.45,1571003.58,FINAL
2023-12-14,CS_ENERGY,FINAL,492524.92,17605.12,5435.2,515565.24,FINAL
2024-08-22,HYDRO_TASMANIA,REVISED,467080.46,9460.46,-3532.89,473008.03,DISPUTED
2025-04-03,NEOEN,FINAL,-736276.27,149334.65,22097.84,-564843.78,FINAL
2025-06-05,ENGIE,FINAL,756099.35,3195.17,773.18,760067.7,FINAL
2024-05-16,AGL_ENERGY,FINAL,436375.32,35316.51,5198.62,476890.45,FINAL
2024-09-19,ORIGIN,REVISED,349709.87,23205.42,2423.6,375338.89,FINAL
2024-11-28,CS_ENERGY,REVISED,1964412.01,50708.63,-7024.24,2008096.4,FINAL
