constraint_id,constraint_type,activated_datetime,deactivated_datetime,reason,rhs_value,region_affected,interconnector
S_RADIAL_SA_1,stability,2025-08-25 03:55:14,2025-08-25 05:51:08,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,733.2,SA1,False
V^HYTS_MLTS_N,stability,2025-09-17 07:47:12,2025-09-17 09:54:08,Radial supply security constraint — South Australia import capacity limit reached.,780.9,NSW1,False
N_X_HYTS_GUN_1,stability,2025-08-19 06:10:48,2025-08-19 09:53:36,Overload protection — Moorabool substation transformer loading above summer rating.,1542.4,NSW1,False
F_I+LREG+ML_RREG_0600,thermal,2025-02-07 04:30:07,2025-02-08 03:26:55,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,299.9,VIC1,False
NSW_VIC_LOCAT_1,thermal,2025-02-08 01:31:53,2025-02-08 03:44:55,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,924.5,VIC1,False
S_RADIAL_SA_1,thermal,2025-07-03 05:29:47,2025-07-03 06:51:49,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,662.5,NSW1,True
S_RADIAL_SA_1,thermal,2025-04-22 16:52:33,2025-04-22 20:15:30,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,602.9,TAS1,False
F_I+LREG+ML_RREG_0600,stability,2025-10-26 08:35:37,2025-10-26 10:41:53,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1151.0,TAS1,False
N_X_HYTS_GUN_1,thermal,2025-10-14 15:36:02,2025-10-15 02:23:32,Radial supply security constraint — South Australia import capacity limit reached.,64.2,QLD1,False
N_X_HYTS_GUN_1,voltage,2025-03-01 00:11:28,2025-03-01 00:38:39,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,937.7,QLD1,False
Q^^Q_NIL_PEAK_1530,stability,2025-09-10 22:52:30,2025-09-11 03:32:50,Basslink thermal constraint — sustained high power flow activating wet-end protection.,1649.5,QLD1,False
F_I+LREG+ML_RREG_0600,voltage,2025-09-06 18:01:40,2025-09-06 19:31:51,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,84.8,TAS1,False
V_XEMPT_MAIN+ML,stability,2025-11-10 18:10:45,2025-11-10 20:49:00,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,923.9,QLD1,False
F_MAIN+ML_MR_0600,voltage,2025-06-12 11:35:04,2025-06-12 14:59:31,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,466.9,SA1,False
N^^Q_NIL_1,voltage,2025-02-02 11:25:58,2025-02-02 19:48:36,Basslink thermal constraint — sustained high power flow activating wet-end protection.,398.9,VIC1,False
V^HYTS_MLTS_N,stability,2025-06-05 07:19:55,2025-06-05 07:45:50,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,877.1,SA1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-10-09 21:35:51,2025-10-10 05:58:56,Frequency control constraint — insufficient inertia from synchronous generation online.,419.5,VIC1,False
S_RADIAL_SA_1,thermal,2025-04-08 21:53:16,2025-04-09 02:12:21,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1273.3,NSW1,False
NSW_VIC_LOCAT_1,thermal,2025-07-06 09:30:40,2025-07-06 13:58:10,Radial supply security constraint — South Australia import capacity limit reached.,1775.6,VIC1,False
V^HYTS_MLTS_N,voltage,2025-04-26 19:44:39,2025-04-26 21:06:55,Radial supply security constraint — South Australia import capacity limit reached.,823.2,QLD1,False
V^MLTS1-HYTS_E,stability,2025-10-31 23:17:40,2025-11-01 00:27:23,Basslink thermal constraint — sustained high power flow activating wet-end protection.,419.8,SA1,False
S^NIL_PEAK_1530_3,voltage,2025-05-16 16:53:05,2025-05-16 21:41:16,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,1795.9,TAS1,False
Q^^Q_NIL_PEAK_1530,stability,2025-01-20 14:04:32,2025-01-20 19:42:03,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,1557.4,NSW1,False
V^GUNNQ_MUGG_E,voltage,2024-12-28 11:11:39,2024-12-28 11:58:48,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,146.4,SA1,False
Q^^Q_NIL_PEAK_1530,stability,2025-07-07 10:39:18,2025-07-07 13:16:19,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,850.7,SA1,False
V^HYTS_MLTS_N,stability,2025-06-07 02:06:18,2025-06-07 08:29:58,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,801.8,VIC1,False
F_MAIN+ML_MR_0600,thermal,2024-11-27 14:58:31,2024-11-27 19:59:55,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,1211.4,NSW1,False
V^GUNNQ_MUGG_E,thermal,2025-10-17 01:18:34,2025-10-18 00:09:53,Radial supply security constraint — South Australia import capacity limit reached.,280.9,QLD1,False
F_I+LREG+ML_RREG_0600,stability,2025-03-10 02:47:20,2025-03-10 06:42:26,Overload protection — Moorabool substation transformer loading above summer rating.,857.6,TAS1,False
Q^^Q_NIL_PEAK_1530,stability,2025-09-20 14:45:33,2025-09-21 11:26:43,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,575.0,TAS1,False
V_XEMPT_MAIN+ML,stability,2025-04-04 18:44:51,2025-04-04 19:49:16,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,444.5,TAS1,False
N^^Q_NIL_1,thermal,2025-08-23 19:28:55,2025-08-23 21:39:44,Bushfire proximity pre-emptive constraint — high fire danger index in Snowy transmission corridor.,1458.6,NSW1,True
N^^Q_NIL_1,thermal,2024-11-29 11:19:06,2024-11-29 17:12:30,Frequency control constraint — insufficient inertia from synchronous generation online.,962.4,TAS1,False
F_I+LREG+ML_RREG_0600,thermal,2025-09-07 14:30:54,2025-09-08 00:49:16,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,1126.9,SA1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-09-30 21:06:11,2025-10-01 00:06:43,Frequency control constraint — insufficient inertia from synchronous generation online.,465.4,NSW1,True
V^HYTS_MLTS_N,voltage,2025-09-18 06:22:36,2025-09-18 23:15:36,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,337.8,SA1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-07-12 03:45:29,2025-07-13 12:29:51,Radial supply security constraint — South Australia import capacity limit reached.,1766.9,TAS1,False
N^^Q_NIL_1,stability,2025-01-07 22:18:28,2025-01-08 03:08:32,Overload protection — Moorabool substation transformer loading above summer rating.,913.2,SA1,False
V_XEMPT_MAIN+ML,voltage,2025-09-22 15:57:55,2025-09-22 19:50:13,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,361.9,SA1,False
V^GUNNQ_MUGG_E,stability,2025-08-10 05:28:36,2025-08-10 06:43:28,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,172.6,QLD1,False
S^NIL_PEAK_1530_3,stability,2025-01-05 08:37:14,2025-01-05 09:06:18,Basslink thermal constraint — sustained high power flow activating wet-end protection.,437.6,VIC1,False
Q_PQ_NIL_RADL_1,voltage,2025-04-22 20:03:23,2025-04-23 00:43:36,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,848.0,VIC1,False
V^HYTS_MLTS_N,voltage,2024-11-26 21:23:33,2024-11-26 23:03:01,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,667.6,SA1,False
Q_PQ_NIL_RADL_1,thermal,2024-12-31 11:45:50,2024-12-31 17:43:07,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,892.1,TAS1,False
Q_PQ_NIL_RADL_1,voltage,2025-09-16 22:09:34,2025-09-21 01:22:40,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,304.8,VIC1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-09-19 17:49:44,2025-09-19 22:18:33,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,1733.4,QLD1,False
N^^Q_NIL_1,stability,2024-11-22 20:32:10,2024-11-26 00:59:44,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,1220.4,TAS1,False
N_X_HYTS_GUN_1,voltage,2025-10-02 22:18:13,2025-10-03 16:50:02,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,1478.8,VIC1,False
N^^Q_NIL_1,voltage,2025-07-15 11:19:55,2025-07-15 13:57:59,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,1742.2,QLD1,False
N^^Q_NIL_1,thermal,2025-06-12 18:52:48,2025-06-12 20:38:13,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1019.6,TAS1,False
Q^^Q_NIL_PEAK_1530,thermal,2025-10-23 06:34:43,2025-10-23 07:31:02,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1159.2,QLD1,False
V^HYTS_MLTS_N,thermal,2025-01-27 17:34:43,2025-01-27 20:52:37,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,300.2,TAS1,False
V^MLTS1-HYTS_E,stability,2025-04-17 17:17:47,2025-04-17 20:41:43,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,580.5,QLD1,False
N_X_HYTS_GUN_1,thermal,2025-03-27 02:43:19,2025-03-27 07:20:54,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,1147.1,QLD1,False
Q_PQ_NIL_RADL_1,thermal,2025-07-09 22:35:34,2025-07-10 00:06:00,Thermal overload risk on 330kV transmission corridor following forced outage of parallel circuit.,498.6,TAS1,False
NSW_VIC_LOCAT_1,voltage,2025-03-26 09:49:04,2025-03-26 16:05:10,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,188.1,TAS1,False
S_RADIAL_SA_1,thermal,2025-02-13 06:50:52,2025-02-13 14:55:17,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,141.8,SA1,False
V_XEMPT_MAIN+ML,thermal,2025-06-14 23:56:54,2025-06-15 04:36:10,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,80.6,NSW1,True
V^MLTS1-HYTS_E,stability,2025-06-21 16:31:21,2025-06-22 01:29:11,Basslink thermal constraint — sustained high power flow activating wet-end protection.,1424.7,VIC1,False
F_I+LREG+ML_RREG_0600,thermal,2025-04-24 13:51:27,2025-04-24 16:41:25,Radial supply security constraint — South Australia import capacity limit reached.,987.8,SA1,True
V^MLTS1-HYTS_E,voltage,2025-03-21 01:03:53,2025-03-22 05:06:00,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1513.1,NSW1,False
S^NIL_PEAK_1530_3,stability,2025-01-02 17:05:07,2025-01-02 21:13:41,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,460.6,QLD1,False
Q_PQ_NIL_RADL_1,stability,2025-03-04 20:13:12,2025-03-04 22:27:33,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,945.7,NSW1,False
Q_PQ_NIL_RADL_1,voltage,2024-11-30 18:50:35,2024-12-01 08:18:56,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1123.7,VIC1,False
V^HYTS_MLTS_N,thermal,2025-05-19 06:03:16,2025-05-19 14:08:19,Constraint activated following trip of New England 330kV double circuit — low probability high impact contingency active.,784.1,SA1,False
Q_PQ_NIL_RADL_1,stability,2025-06-21 12:10:31,2025-06-21 13:38:26,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,1283.7,NSW1,False
N^^Q_NIL_1,stability,2025-05-20 09:51:05,2025-05-20 12:11:59,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,182.4,VIC1,False
S^NIL_PEAK_1530_3,thermal,2025-06-02 01:29:19,2025-06-02 01:58:24,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,415.5,SA1,False
V^GUNNQ_MUGG_E,stability,2025-10-08 12:51:35,2025-10-08 22:21:03,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,1572.3,VIC1,False
N_X_HYTS_GUN_1,thermal,2025-02-22 08:10:33,2025-02-22 20:09:31,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,1128.6,NSW1,False
V^GUNNQ_MUGG_E,stability,2025-07-23 07:49:14,2025-07-23 11:11:20,Radial supply security constraint — South Australia import capacity limit reached.,1311.8,QLD1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-02-07 13:48:37,2025-02-07 15:53:10,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,718.3,TAS1,False
F_MAIN+ML_MR_0600,voltage,2025-05-04 15:43:18,2025-05-04 16:05:30,Radial supply security constraint — South Australia import capacity limit reached.,1283.5,NSW1,False
S^NIL_PEAK_1530_3,thermal,2025-05-26 03:29:32,2025-05-26 09:07:41,Basslink thermal constraint — sustained high power flow activating wet-end protection.,563.2,NSW1,False
Q^^Q_NIL_PEAK_1530,stability,2024-12-25 22:10:02,2024-12-26 06:20:25,Basslink thermal constraint — sustained high power flow activating wet-end protection.,902.8,NSW1,False
V_XEMPT_MAIN+ML,thermal,2025-05-27 00:44:12,2025-05-27 01:53:51,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,868.0,VIC1,False
S_RADIAL_SA_1,thermal,2024-12-11 01:21:32,2024-12-11 10:45:28,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,696.2,VIC1,True
Q_PQ_NIL_RADL_1,stability,2025-09-30 21:37:15,2025-10-01 00:11:25,Frequency control constraint — insufficient inertia from synchronous generation online.,1340.1,VIC1,False
V^GUNNQ_MUGG_E,thermal,2025-11-18 13:07:57,2025-11-20 13:53:57,Commissioning restriction on Snowy 2.0 underground cable section — progressive energisation sequence.,968.3,SA1,True
F_I+LREG+ML_RREG_0600,voltage,2024-12-15 06:47:21,2024-12-15 10:34:04,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1466.9,VIC1,False
N_X_HYTS_GUN_1,thermal,2025-01-15 12:04:16,2025-01-15 15:56:15,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,278.8,VIC1,False
N^^Q_NIL_1,thermal,2025-08-19 11:29:00,2025-08-19 12:34:57,Vegetation growth reducing conductor-to-ground clearance below National Electricity Rules minimum.,88.2,QLD1,False
NSW_VIC_LOCAT_1,voltage,2025-10-14 17:56:24,2025-10-15 04:32:53,Transient stability limit for loss of Loy Yang A unit following high renewable penetration.,1026.6,QLD1,False
S_RADIAL_SA_1,voltage,2024-12-26 08:00:31,2024-12-26 14:45:56,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1558.6,TAS1,False
Q^^Q_NIL_PEAK_1530,stability,2025-07-09 02:12:02,2025-07-09 03:24:56,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,1232.1,TAS1,False
Q_PQ_NIL_RADL_1,stability,2025-11-11 11:28:05,2025-11-11 17:53:51,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,142.6,VIC1,False
F_MAIN+ML_MR_0600,voltage,2025-10-14 04:34:34,2025-10-15 00:38:01,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,119.7,VIC1,False
F_MAIN+ML_MR_0600,thermal,2025-04-03 13:51:22,2025-04-03 15:45:11,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1219.9,SA1,False
Q_PQ_NIL_RADL_1,stability,2024-12-08 19:57:31,2024-12-09 00:58:50,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,1028.6,QLD1,False
Q^^Q_NIL_PEAK_1530,stability,2025-11-10 14:47:02,2025-11-10 15:13:57,Contingency overload constraint on VIC to NSW interconnector following loss of Tumut 3.,1392.2,TAS1,False
NSW_VIC_LOCAT_1,voltage,2025-01-05 10:44:06,2025-01-05 18:21:05,Load shedding avoidance constraint — demand management activated in SA following gas curtailment.,1308.1,NSW1,False
V_XEMPT_MAIN+ML,thermal,2025-03-09 15:22:05,2025-03-09 18:29:24,Maintenance outage on Tumut 3 transformer reducing available NEM north-south transfer capability.,383.8,QLD1,False
S_RADIAL_SA_1,voltage,2025-02-04 13:41:56,2025-02-04 14:06:28,Radial supply security constraint — South Australia import capacity limit reached.,1196.5,NSW1,False
V^HYTS_MLTS_N,stability,2025-05-12 08:14:23,2025-05-12 16:26:11,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1274.4,VIC1,False
F_I+LREG+ML_RREG_0600,voltage,2024-12-05 21:05:01,2024-12-05 22:26:43,Post-fault voltage recovery limit — Hazelwood to Melbourne corridor following unit trip.,1340.2,TAS1,False
Q^^Q_NIL_PEAK_1530,stability,2025-08-24 10:17:47,2025-08-24 19:36:57,Voltage stability margin insufficient following contingency N-1 on Heywood interconnector.,1593.5,SA1,False
Q^^Q_NIL_PEAK_1530,stability,2025-10-23 16:45:54,2025-10-24 05:01:56,Dynamic stability limit triggered by loss of synchronism risk for Northern Queensland generation.,1286.6,NSW1,False
V^MLTS1-HYTS_E,thermal,2025-07-04 22:41:01,2025-07-11 22:41:01,Inverter-based resource stability constraint — high IBR penetration threshold reached in SA island mode.,1396.1,SA1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-04-18 20:10:58,2025-04-18 21:19:44,Basslink thermal constraint — sustained high power flow activating wet-end protection.,399.7,NSW1,False
Q^^Q_NIL_PEAK_1530,voltage,2025-04-25 18:03:22,2025-04-25 20:14:53,Basslink frequency constraint — Tasmania operating in islanded mode following communication fault.,312.2,VIC1,False
