settlement_date,region_id,duid,dispatch_mw,initial_mw,available_mw,ramp_rate,fuel_type,station_name,state
2025-11-01 14:20:00,NSW1,VALES1,575.7,582.4,606.5,3.9,coal,Vales Point,NSW
2025-06-04 14:45:00,QLD1,HLWF1,39.0,38.6,39.3,75.0,solar,Haughton Solar Farm,QLD
2025-10-27 05:05:00,VIC1,LOYB1,364.0,364.7,382.4,4.9,coal,Loy Yang B,VIC
2025-10-21 15:05:00,NSW1,ERGT01,507.9,509.1,508.8,4.0,coal,Eraring,NSW
2025-07-13 08:50:00,NSW1,TUMUT1,73.9,74.0,187.2,83.6,hydro,Tumut 1,NSW
2025-09-15 23:05:00,VIC1,GARDNR1,0.0,0.0,0.0,69.8,solar,Gannawarra Solar Farm,VIC
2025-06-23 01:40:00,SA1,HPRL1,4.6,4.4,100.0,246.9,battery,Hornsdale Power Reserve,SA
2025-10-08 23:20:00,VIC1,ARWF1,187.2,179.7,189.3,44.2,wind,Ararat Wind Farm,VIC
2025-09-28 11:55:00,SA1,LADBROK1,0.7,0.7,18.7,15.1,gas,Ladbroke Grove,SA
2025-07-27 12:35:00,QLD1,RUGBYR1,40.2,40.8,42.7,102.8,solar,Rugby Run Solar Farm,QLD
2025-06-05 08:40:00,NSW1,TUMUT1,57.3,56.9,297.5,37.3,hydro,Tumut 1,NSW
2025-11-16 16:05:00,VIC1,WEMBLEY1,117.2,114.6,124.4,76.8,wind,Waubra Wind Farm,VIC
2025-08-13 02:45:00,QLD1,TARONG4,378.1,374.6,406.8,3.8,coal,Tarong,QLD
2025-11-02 13:10:00,TAS1,POATINA1,68.3,68.9,163.7,71.2,hydro,Poatina,TAS
2025-09-24 09:10:00,VIC1,GARDNR1,18.2,18.5,19.5,91.3,solar,Gannawarra Solar Farm,VIC
2025-10-12 16:00:00,TAS1,GORDONS1,431.4,434.4,431.4,67.2,hydro,Gordon,TAS
2025-10-09 07:15:00,SA1,HDWF2,99.0,101.8,99.0,83.2,wind,Hornsdale Wind Farm,SA
2025-06-28 10:10:00,SA1,AGLSOM,7.0,7.0,42.9,24.2,gas,Somerton,SA
2025-07-29 05:30:00,NSW1,MURRAY2,103.7,102.2,201.7,45.8,hydro,Murray 2,NSW
2025-08-16 22:40:00,VIC1,MEWF1,96.3,97.4,102.7,45.5,wind,Mt Mercer Wind Farm,VIC
2025-08-22 14:20:00,SA1,LKBONNY4,23.2,22.9,24.4,190.4,solar,Lake Bonney Solar,SA
2025-05-31 23:20:00,TAS1,POATINA1,112.8,111.9,145.2,81.2,hydro,Poatina,TAS
2025-08-31 11:25:00,QLD1,TARONG1,359.5,357.1,380.7,7.6,coal,Tarong,QLD
2025-06-21 01:55:00,VIC1,LOYA4,489.8,499.7,520.2,4.1,coal,Loy Yang A,VIC
2025-10-06 07:05:00,VIC1,LOYA1,489.6,503.8,503.4,6.4,coal,Loy Yang A,VIC
2025-09-25 07:35:00,VIC1,ARWF1,59.1,59.3,60.9,87.9,wind,Ararat Wind Farm,VIC
2025-11-07 21:40:00,NSW1,TUMUT2,105.9,106.4,143.6,80.8,hydro,Tumut 2,NSW
2025-10-06 13:10:00,VIC1,GANNBAT1,0.4,0.4,25.0,205.0,battery,Gannawarra Battery,VIC
2025-07-29 17:30:00,NSW1,BAYSW3,564.8,577.0,614.5,7.4,coal,Bayswater,NSW
2025-11-16 02:05:00,NSW1,BAYSW1,495.2,493.6,512.8,7.5,coal,Bayswater,NSW
2025-08-06 18:35:00,QLD1,RUGBYR1,8.4,8.4,8.6,69.3,solar,Rugby Run Solar Farm,QLD
2025-07-22 07:10:00,QLD1,CALL2,282.7,290.3,284.8,6.0,coal,Callide B,QLD
2025-11-04 19:25:00,SA1,LADBROK1,56.9,53.0,63.5,26.4,gas,Ladbroke Grove,SA
2025-07-30 10:10:00,NSW1,ERGT02,526.1,532.8,539.5,4.0,coal,Eraring,NSW
2025-06-06 21:25:00,NSW1,ERGT02,550.3,539.5,582.8,7.3,coal,Eraring,NSW
2025-08-17 11:00:00,QLD1,KAREEYA1,3.7,3.4,15.1,11.8,gas,Kareeya,QLD
2025-10-15 19:35:00,QLD1,DAYDREAMS,14.4,14.3,15.2,112.4,solar,Daydream Solar Farm,QLD
2025-06-27 11:35:00,TAS1,POATINA1,64.5,64.2,164.4,39.6,hydro,Poatina,TAS
2025-08-16 06:05:00,SA1,PELICAN1,20.8,19.2,476.4,18.2,gas,Pelican Point,SA
2025-06-16 15:30:00,NSW1,CAPTL_WF,66.7,67.1,68.4,62.4,wind,Capital Wind Farm,NSW
2025-09-25 22:35:00,TAS1,JOHN_HF1,64.1,63.7,138.8,51.4,hydro,John Butters,TAS
2025-08-18 13:55:00,VIC1,MORTLK2,9.0,8.3,219.6,11.0,gas,Mortlake,VIC
2025-07-23 02:15:00,VIC1,LOYB1,417.8,412.8,444.7,3.9,coal,Loy Yang B,VIC
2025-07-04 07:05:00,NSW1,TUMUT3,150.1,149.5,1211.6,35.0,hydro,Tumut 3,NSW
2025-09-03 17:45:00,NSW1,BAYSW1,494.6,505.1,520.0,7.7,coal,Bayswater,NSW
2025-09-22 21:45:00,QLD1,TARONG1,316.0,319.8,329.2,5.0,coal,Tarong,QLD
2025-11-11 03:20:00,NSW1,VALES2,543.1,540.9,550.2,4.0,coal,Vales Point,NSW
2025-08-11 13:30:00,NSW1,CAPTL_WF,58.2,58.7,58.9,91.2,wind,Capital Wind Farm,NSW
2025-06-22 05:50:00,QLD1,CALL2,51.0,51.5,64.3,3.4,coal,Callide B,QLD
2025-10-22 13:10:00,NSW1,TALLWN2,12.0,12.1,45.1,12.8,gas,Tallawarra B,NSW
2025-09-15 14:50:00,SA1,SNOWTWN1,31.8,32.2,32.3,85.7,wind,Snow Town,SA
2025-09-28 10:45:00,QLD1,TARONG2,359.2,358.8,375.8,4.7,coal,Tarong,QLD
2025-06-10 16:40:00,NSW1,OCGT2,99.1,94.5,154.4,17.5,gas,Uranquinty,NSW
2025-07-19 20:25:00,QLD1,BRAEMAR1,16.7,17.4,359.7,16.1,gas,Braemar,QLD
2025-10-10 18:00:00,NSW1,VALES1,483.5,495.5,529.7,7.3,coal,Vales Point,NSW
2025-10-22 11:20:00,SA1,HPRL1,-20.7,-21.1,100.0,459.8,battery,Hornsdale Power Reserve,SA
2025-08-11 05:00:00,VIC1,GANNBAT1,-13.4,-14.1,25.0,267.4,battery,Gannawarra Battery,VIC
2025-10-17 11:15:00,QLD1,HLWF1,62.8,62.5,67.0,82.0,solar,Haughton Solar Farm,QLD
2025-10-24 04:30:00,NSW1,ERGT04,617.5,630.8,630.0,5.1,coal,Eraring,NSW
2025-08-02 12:30:00,SA1,LADBROK1,2.7,2.6,70.9,21.8,gas,Ladbroke Grove,SA
2025-11-03 10:55:00,NSW1,OCGT1,7.1,7.7,127.2,11.5,gas,Uranquinty,NSW
2025-07-15 11:25:00,VIC1,LOYA2,439.7,447.9,461.9,5.5,coal,Loy Yang A,VIC
2025-07-06 14:20:00,TAS1,GORDONS1,28.4,27.8,299.2,35.9,hydro,Gordon,TAS
2025-09-25 05:10:00,VIC1,MORTLK1,11.7,11.9,109.1,20.9,gas,Mortlake,VIC
2025-09-16 21:25:00,SA1,SNOWTWN1,21.0,21.1,21.2,31.0,wind,Snow Town,SA
2025-06-18 10:25:00,QLD1,DAYDREAMS,74.0,74.7,75.3,92.6,solar,Daydream Solar Farm,QLD
2025-10-22 13:25:00,QLD1,TARONG4,333.3,340.2,367.1,7.2,coal,Tarong,QLD
2025-06-29 09:10:00,NSW1,OCGT1,6.5,6.2,101.2,18.6,gas,Uranquinty,NSW
2025-10-17 11:50:00,NSW1,WALGETT1,15.0,14.6,850.0,359.3,battery,Waratah Super Battery,NSW
2025-05-25 08:05:00,NSW1,TUMUT3,479.5,472.6,679.7,71.4,hydro,Tumut 3,NSW
2025-10-16 00:40:00,QLD1,BRAEMAR1,7.9,7.8,412.7,16.6,gas,Braemar,QLD
2025-10-14 05:20:00,QLD1,KAREEYA1,1.4,1.5,30.7,27.8,gas,Kareeya,QLD
2025-10-13 00:40:00,NSW1,BAYSW1,516.5,523.2,523.3,7.4,coal,Bayswater,NSW
2025-09-22 00:05:00,VIC1,LOYB1,391.1,393.7,401.0,3.4,coal,Loy Yang B,VIC
2025-08-17 19:50:00,NSW1,BAYSW1,536.3,545.3,570.4,3.5,coal,Bayswater,NSW
2025-09-29 08:10:00,NSW1,TUMUT2,50.2,50.4,213.6,87.0,hydro,Tumut 2,NSW
2025-07-13 10:25:00,SA1,HPRL1,2.4,2.4,100.0,463.9,battery,Hornsdale Power Reserve,SA
2025-10-13 02:15:00,VIC1,LOYA2,393.1,387.0,398.6,7.1,coal,Loy Yang A,VIC
2025-09-02 03:05:00,QLD1,TARONG1,358.7,365.3,390.2,6.8,coal,Tarong,QLD
2025-08-15 12:30:00,NSW1,OCGT1,2.2,2.1,117.4,17.5,gas,Uranquinty,NSW
2025-08-24 00:30:00,NSW1,TUMUT3,707.0,695.9,1266.8,73.3,hydro,Tumut 3,NSW
2025-09-04 12:15:00,VIC1,MORTLK1,12.9,11.9,202.4,25.3,gas,Mortlake,VIC
2025-05-30 18:45:00,NSW1,BAYSW4,548.6,549.4,588.8,7.7,coal,Bayswater,NSW
2025-06-18 10:35:00,SA1,MTMILLAR,26.0,25.3,28.4,69.7,wind,Mt Millar Wind Farm,SA
2025-07-07 16:15:00,VIC1,LOYA1,414.2,414.5,424.2,3.0,coal,Loy Yang A,VIC
2025-06-13 20:15:00,NSW1,CAPTL_WF,60.4,58.3,65.2,54.7,wind,Capital Wind Farm,NSW
2025-08-12 00:15:00,TAS1,JOHN_HF1,18.5,18.2,62.9,81.5,hydro,John Butters,TAS
2025-09-22 15:35:00,NSW1,ERGT01,563.8,552.7,566.5,7.2,coal,Eraring,NSW
2025-09-20 02:35:00,SA1,DALRNG1,0.1,0.1,30.0,557.9,battery,Dalrymple Battery,SA
2025-08-17 17:45:00,SA1,SNOWTWN1,67.3,66.7,69.1,110.7,wind,Snow Town,SA
2025-10-26 15:00:00,NSW1,BAYSW4,550.1,556.5,575.0,5.9,coal,Bayswater,NSW
2025-09-03 20:55:00,VIC1,LOYB2,367.0,363.6,404.1,5.5,coal,Loy Yang B,VIC
2025-06-07 09:55:00,VIC1,LOYA2,438.6,438.0,466.7,3.2,coal,Loy Yang A,VIC
2025-10-10 05:30:00,TAS1,GORDONS1,73.0,73.7,185.9,53.8,hydro,Gordon,TAS
2025-09-05 13:50:00,QLD1,HLWF1,57.0,56.9,60.8,114.8,solar,Haughton Solar Farm,QLD
2025-09-16 12:30:00,NSW1,OCGT2,5.4,5.1,125.9,24.8,gas,Uranquinty,NSW
2025-09-03 21:35:00,QLD1,KAREEYA1,0.0,0.0,59.8,12.0,gas,Kareeya,QLD
2025-09-01 18:00:00,NSW1,OCGT1,123.7,131.3,131.2,17.1,gas,Uranquinty,NSW
2025-06-09 11:35:00,VIC1,MORTLK1,7.3,7.6,225.3,14.1,gas,Mortlake,VIC
2025-09-02 18:35:00,NSW1,CAPTL_WF,65.8,65.8,70.8,118.9,wind,Capital Wind Farm,NSW
2025-10-15 16:10:00,VIC1,LOYA4,449.9,437.2,484.0,6.6,coal,Loy Yang A,VIC
2025-07-18 07:40:00,NSW1,BENBUL1,21.5,21.2,22.6,53.6,solar,Benbullen Solar Farm,NSW
2025-09-10 17:10:00,VIC1,VBBL1,107.2,107.1,300.0,483.0,battery,Victorian Big Battery,VIC
2025-05-29 14:35:00,VIC1,GANNBAT1,-5.3,-5.5,25.0,291.2,battery,Gannawarra Battery,VIC
2025-07-26 05:50:00,VIC1,LOYA2,484.7,491.5,522.2,3.7,coal,Loy Yang A,VIC
2025-08-11 11:35:00,VIC1,MORTLK1,4.7,4.6,62.3,23.6,gas,Mortlake,VIC
2025-11-18 20:40:00,QLD1,CALL2,296.1,292.0,316.3,3.2,coal,Callide B,QLD
2025-07-02 01:15:00,VIC1,WEMBLEY1,23.0,22.6,23.5,33.2,wind,Waubra Wind Farm,VIC
2025-07-13 07:55:00,QLD1,TARONG4,318.5,321.1,351.3,7.7,coal,Tarong,QLD
2025-08-06 08:25:00,VIC1,JBUTNS1,102.0,96.6,119.1,12.0,gas,Jeeralang,VIC
2025-11-20 16:00:00,NSW1,VALES2,516.3,524.2,555.3,4.5,coal,Vales Point,NSW
2025-10-26 07:40:00,SA1,HDWF2,52.7,50.9,56.9,33.6,wind,Hornsdale Wind Farm,SA
2025-05-30 07:30:00,SA1,HDWF1,74.9,73.0,76.1,34.5,wind,Hornsdale Wind Farm,SA
2025-07-05 13:50:00,SA1,HDWF2,14.1,13.8,14.3,106.7,wind,Hornsdale Wind Farm,SA
2025-10-20 13:05:00,NSW1,TALLWN2,15.7,14.1,59.5,21.3,gas,Tallawarra B,NSW
2025-06-03 14:40:00,NSW1,BENBUL1,49.9,49.4,51.9,169.6,solar,Benbullen Solar Farm,NSW
2025-10-26 17:35:00,VIC1,ARWF1,240.0,236.0,240.0,115.1,wind,Ararat Wind Farm,VIC
2025-07-14 05:05:00,VIC1,LOYA3,403.7,405.7,412.5,3.4,coal,Loy Yang A,VIC
2025-11-07 00:20:00,NSW1,OCGT2,1.4,1.5,76.1,16.7,gas,Uranquinty,NSW
2025-07-16 10:25:00,SA1,SNOWTWN1,69.8,73.1,73.6,108.8,wind,Snow Town,SA
2025-08-11 01:05:00,NSW1,VALES1,593.6,603.7,619.7,7.6,coal,Vales Point,NSW
2025-09-21 11:15:00,NSW1,OCGT1,7.9,8.3,79.6,20.4,gas,Uranquinty,NSW
2025-06-15 23:35:00,TAS1,GORDONS1,79.5,78.4,117.8,68.8,hydro,Gordon,TAS
2025-09-02 09:05:00,SA1,AGLHAL,4.4,4.4,134.7,12.8,gas,Hallett,SA
2025-08-23 21:55:00,QLD1,BRAEMAR2,9.7,10.5,206.1,28.8,gas,Braemar,QLD
2025-10-13 16:05:00,QLD1,DAYDREAMS,66.6,66.0,69.9,169.8,solar,Daydream Solar Farm,QLD
2025-11-21 07:00:00,QLD1,TARONG4,326.2,333.5,361.4,7.6,coal,Tarong,QLD
2025-09-21 21:45:00,NSW1,MURRAY1,89.3,90.3,487.1,39.4,hydro,Murray 1,NSW
2025-08-06 11:20:00,NSW1,BAYSW2,563.5,560.7,610.3,4.3,coal,Bayswater,NSW
2025-08-05 23:05:00,SA1,LADBROK1,2.9,3.2,41.3,22.0,gas,Ladbroke Grove,SA
2025-08-08 01:40:00,VIC1,ARWF1,42.3,41.7,44.8,105.1,wind,Ararat Wind Farm,VIC
2025-10-19 03:40:00,VIC1,HAZEL1,163.4,161.1,178.4,7.0,coal,Hazelwood,VIC
2025-07-21 11:05:00,SA1,LKBONNY4,28.0,27.5,28.5,158.4,solar,Lake Bonney Solar,SA
2025-06-23 09:20:00,NSW1,ERGT02,623.6,607.8,630.0,3.1,coal,Eraring,NSW
2025-07-23 20:10:00,NSW1,CAPTL_WF,58.9,59.6,61.1,81.3,wind,Capital Wind Farm,NSW
2025-05-28 03:10:00,VIC1,WEMBLEY1,38.1,37.8,40.0,91.3,wind,Waubra Wind Farm,VIC
2025-06-12 07:35:00,NSW1,TUMUT1,143.2,144.4,289.3,47.5,hydro,Tumut 1,NSW
2025-06-09 09:20:00,VIC1,LOYB1,444.0,447.2,482.0,4.7,coal,Loy Yang B,VIC
2025-10-11 10:10:00,VIC1,LOYA1,442.6,440.6,458.4,7.7,coal,Loy Yang A,VIC
2025-10-02 11:15:00,SA1,MTMILLAR,31.8,31.5,33.4,87.5,wind,Mt Millar Wind Farm,SA
2025-09-27 19:30:00,VIC1,GANNBAT1,7.7,7.9,25.0,333.0,battery,Gannawarra Battery,VIC
2025-08-16 01:30:00,NSW1,TUMUT1,50.2,49.5,194.5,46.7,hydro,Tumut 1,NSW
2025-10-01 12:10:00,VIC1,LOYB1,401.2,400.4,411.0,5.6,coal,Loy Yang B,VIC
2025-06-22 08:25:00,VIC1,MORTLK1,7.4,7.9,214.7,15.7,gas,Mortlake,VIC
2025-11-03 21:55:00,QLD1,CALL2,303.5,306.0,326.2,5.8,coal,Callide B,QLD
2025-08-23 04:35:00,SA1,LKBONNY4,0.0,0.0,0.0,85.2,solar,Lake Bonney Solar,SA
2025-11-10 17:25:00,QLD1,BRAEMAR2,8.6,8.3,199.6,26.4,gas,Braemar,QLD
2025-06-20 17:15:00,SA1,AGLHAL,9.9,9.3,25.8,28.5,gas,Hallett,SA
2025-08-22 12:20:00,NSW1,BAYSW1,556.6,557.1,561.3,6.9,coal,Bayswater,NSW
2025-09-27 17:35:00,VIC1,WEMBLEY1,19.8,20.5,20.6,56.1,wind,Waubra Wind Farm,VIC
2025-08-22 04:55:00,SA1,AGLHAL,0.9,1.0,116.3,13.0,gas,Hallett,SA
2025-08-13 04:50:00,NSW1,BAYSW3,542.5,526.5,561.1,5.7,coal,Bayswater,NSW
2025-06-23 06:00:00,VIC1,LOYA4,502.4,494.1,512.9,5.8,coal,Loy Yang A,VIC
2025-08-01 08:15:00,VIC1,STKLD1,37.2,37.9,40.5,154.4,solar,Stockyard Hill Solar,VIC
2025-07-06 10:55:00,NSW1,NYNGAN1,44.0,43.1,45.7,120.6,solar,Nyngan Solar Plant,NSW
2025-07-17 21:00:00,QLD1,BRAEMAR1,11.4,11.8,344.0,28.6,gas,Braemar,QLD
2025-09-25 10:25:00,NSW1,BENBUL1,61.1,61.9,65.2,89.1,solar,Benbullen Solar Farm,NSW
2025-09-15 17:05:00,VIC1,STKLD1,39.7,39.9,41.5,116.4,solar,Stockyard Hill Solar,VIC
2025-09-11 12:15:00,VIC1,MEWF1,61.7,61.3,62.4,47.7,wind,Mt Mercer Wind Farm,VIC
2025-07-28 20:25:00,VIC1,LOYB1,398.7,395.8,418.1,3.1,coal,Loy Yang B,VIC
2025-11-14 16:00:00,VIC1,MORTLK2,8.2,8.8,253.5,20.1,gas,Mortlake,VIC
2025-06-08 22:50:00,NSW1,TUMUT3,393.1,391.4,983.4,47.7,hydro,Tumut 3,NSW
2025-07-25 08:25:00,QLD1,TARONG3,324.1,321.1,326.3,3.8,coal,Tarong,QLD
2025-06-14 11:25:00,SA1,SNOWTWN1,48.3,46.7,48.6,71.0,wind,Snow Town,SA
2025-07-24 16:30:00,NSW1,MURRAY1,782.4,788.2,932.3,78.1,hydro,Murray 1,NSW
2025-11-15 01:35:00,QLD1,KAREEYA1,0.9,0.9,76.5,25.4,gas,Kareeya,QLD
2025-07-29 15:50:00,QLD1,BRAEMAR1,125.2,120.1,235.3,23.5,gas,Braemar,QLD
2025-11-05 08:45:00,VIC1,LOYA3,484.3,493.4,520.2,7.2,coal,Loy Yang A,VIC
2025-08-22 02:25:00,QLD1,BRAEMAR1,17.1,18.7,134.6,20.1,gas,Braemar,QLD
2025-09-28 08:20:00,NSW1,BAYSW3,496.7,502.4,540.2,3.8,coal,Bayswater,NSW
2025-08-15 06:00:00,NSW1,ERGT04,567.2,556.6,607.1,6.7,coal,Eraring,NSW
2025-07-11 09:20:00,SA1,HDWF1,78.3,76.3,83.6,57.7,wind,Hornsdale Wind Farm,SA
2025-10-10 02:10:00,VIC1,LOYB2,391.9,403.5,430.0,6.4,coal,Loy Yang B,VIC
2025-11-16 09:25:00,NSW1,TALLWN2,1.1,1.1,200.2,23.4,gas,Tallawarra B,NSW
2025-07-10 23:05:00,NSW1,OCGT1,1.3,1.3,69.4,17.0,gas,Uranquinty,NSW
2025-10-12 17:35:00,SA1,LADBROK1,61.5,60.0,62.3,29.5,gas,Ladbroke Grove,SA
2025-07-10 12:40:00,VIC1,GARDNR1,27.2,26.8,28.7,175.1,solar,Gannawarra Solar Farm,VIC
2025-10-01 11:25:00,SA1,AGLHAL,2.5,2.6,196.1,16.4,gas,Hallett,SA
2025-10-14 14:25:00,NSW1,MURRAY2,187.7,190.6,364.4,63.6,hydro,Murray 2,NSW
2025-08-13 18:50:00,SA1,PELICAN1,95.8,97.5,105.9,21.3,gas,Pelican Point,SA
2025-10-05 02:55:00,SA1,DALRNG1,-7.9,-7.9,30.0,241.5,battery,Dalrymple Battery,SA
2025-07-12 13:10:00,SA1,DALRNG1,1.2,1.2,30.0,560.6,battery,Dalrymple Battery,SA
2025-06-07 10:10:00,VIC1,MORTLK2,6.9,6.3,180.8,14.3,gas,Mortlake,VIC
2025-06-10 13:00:00,NSW1,BENBUL1,57.5,56.6,60.2,171.4,solar,Benbullen Solar Farm,NSW
2025-08-13 08:35:00,SA1,AGLSOM,3.3,3.1,85.8,14.8,gas,Somerton,SA
2025-11-04 06:35:00,TAS1,GORDONS1,115.8,114.4,149.5,31.4,hydro,Gordon,TAS
2025-06-16 05:15:00,NSW1,BENBUL1,0.0,0.0,0.0,171.6,solar,Benbullen Solar Farm,NSW
2025-08-14 22:50:00,NSW1,TALLWN2,10.9,10.7,313.1,28.3,gas,Tallawarra B,NSW
2025-09-29 03:15:00,QLD1,TARONG4,379.1,388.9,394.8,3.8,coal,Tarong,QLD
2025-06-29 19:55:00,TAS1,GORDONS1,269.2,263.9,312.7,37.6,hydro,Gordon,TAS
2025-10-02 08:00:00,SA1,HDWF1,290.2,297.9,302.5,49.2,wind,Hornsdale Wind Farm,SA
2025-07-18 16:25:00,QLD1,DAYDREAMS,53.6,54.6,54.5,119.6,solar,Daydream Solar Farm,QLD
2025-10-18 04:15:00,QLD1,RUGBYR1,0.0,0.0,0.0,59.0,solar,Rugby Run Solar Farm,QLD
2025-09-06 10:00:00,VIC1,LOYA2,404.4,394.7,445.7,5.9,coal,Loy Yang A,VIC
2025-08-31 12:55:00,VIC1,HAZEL1,172.4,168.3,187.0,3.4,coal,Hazelwood,VIC
2025-06-25 04:05:00,TAS1,REECE1,32.9,33.4,88.3,68.7,hydro,Reece,TAS
2025-08-16 07:15:00,QLD1,TARONG1,393.6,388.4,408.1,5.2,coal,Tarong,QLD
2025-10-26 21:45:00,TAS1,JOHN_HF1,58.5,59.2,118.1,79.8,hydro,John Butters,TAS
2025-05-27 13:15:00,NSW1,OCGT1,31.2,30.9,115.5,12.3,gas,Uranquinty,NSW
2025-10-09 01:15:00,NSW1,MURRAY2,43.5,44.1,521.3,49.1,hydro,Murray 2,NSW
2025-08-21 16:25:00,SA1,CLOVER1,52.5,50.6,55.9,42.1,wind,Clover Hill Wind Farm,SA
2025-10-01 22:40:00,NSW1,ERGT03,552.0,536.2,608.5,5.7,coal,Eraring,NSW
2025-09-21 17:20:00,QLD1,CALL2,304.8,302.6,320.3,4.1,coal,Callide B,QLD
2025-08-10 15:25:00,VIC1,VBBL1,-201.0,-200.3,300.0,218.4,battery,Victorian Big Battery,VIC
2025-07-19 04:15:00,VIC1,LOYB1,390.9,401.6,418.4,6.9,coal,Loy Yang B,VIC
2025-09-15 04:05:00,VIC1,LOYB2,367.1,365.9,385.6,5.7,coal,Loy Yang B,VIC
2025-06-18 12:30:00,VIC1,LOYA1,467.2,467.1,511.5,6.6,coal,Loy Yang A,VIC
2025-09-07 07:20:00,VIC1,MEWF1,115.0,117.1,119.7,118.5,wind,Mt Mercer Wind Farm,VIC
2025-06-10 05:35:00,NSW1,TUMUT2,34.1,34.4,143.9,81.4,hydro,Tumut 2,NSW
2025-09-19 06:35:00,SA1,HPRL1,1.2,1.2,100.0,449.1,battery,Hornsdale Power Reserve,SA
2025-09-15 10:20:00,TAS1,POATINA1,20.9,20.9,190.3,47.4,hydro,Poatina,TAS
2025-06-08 08:50:00,TAS1,GORDONS1,68.0,66.8,347.5,47.1,hydro,Gordon,TAS
2025-10-08 20:45:00,TAS1,REECE1,84.4,83.1,115.1,89.0,hydro,Reece,TAS
2025-08-07 16:15:00,SA1,CLOVER1,16.7,16.3,17.7,43.9,wind,Clover Hill Wind Farm,SA
2025-10-14 05:10:00,NSW1,TUMUT3,79.8,79.3,1144.6,41.7,hydro,Tumut 3,NSW
