settlement_date,region_id,rrp,raise_6sec,lower_6sec,total_demand_mw,net_interchange,scheduled_generation
2025-08-07 11:00:00,NSW1,57.43,1.15,0.24,6117.7,-0.8,5734.7
2025-07-22 15:30:00,TAS1,111.54,2.2,0.78,1048.5,54.4,956.5
2025-06-09 23:30:00,TAS1,155.07,19.49,2.32,980.8,124.5,833.4
2025-09-27 20:00:00,QLD1,19.43,0.25,0.49,6343.0,-458.0,6561.5
2025-09-08 00:30:00,TAS1,8820.44,572.86,151.26,728.5,-96.4,803.2
2025-08-28 13:30:00,NSW1,222.32,1.11,3.37,6058.0,1130.2,5001.4
2025-06-06 11:30:00,VIC1,85.67,4.94,0.35,5059.0,-359.2,5264.9
2025-09-22 22:00:00,QLD1,62.66,1.42,0.47,6873.6,-188.1,7401.5
2025-09-06 15:30:00,QLD1,76.11,0.93,0.25,5739.2,-106.8,5819.8
2025-10-17 17:00:00,VIC1,60.3,1.2,0.65,5807.4,57.4,4968.4
2025-06-08 02:00:00,NSW1,109.91,0.62,0.42,5646.6,-1556.3,6895.1
2025-07-22 00:00:00,TAS1,83.19,1.81,1.8,737.4,117.4,544.8
2025-08-30 03:00:00,TAS1,93.75,2.93,0.83,820.5,-29.8,806.2
2025-06-17 00:00:00,VIC1,53.93,0.58,1.41,3107.3,-152.8,3204.6
2025-10-25 20:30:00,VIC1,203.21,2.14,1.92,5290.6,476.4,4490.0
2025-07-07 16:30:00,SA1,304.92,7.88,2.83,1626.8,186.1,1470.7
2025-07-15 13:30:00,VIC1,133.99,6.02,1.65,5452.9,88.7,4973.5
2025-08-02 19:00:00,TAS1,76.31,1.8,1.31,1128.6,-106.8,1095.9
2025-06-08 01:00:00,QLD1,94.49,1.05,3.24,5493.8,-98.4,5756.6
2025-06-24 19:00:00,VIC1,373.06,6.93,15.3,6251.2,39.3,5633.0
2025-07-21 08:00:00,QLD1,84.02,0.51,1.7,5739.2,836.9,4929.8
2025-06-30 15:00:00,NSW1,87.41,0.83,0.89,6519.9,-657.0,6493.2
2025-08-09 06:00:00,VIC1,33.35,0.36,1.13,5451.8,259.6,5264.0
2025-09-17 13:30:00,NSW1,66.51,5.57,1.05,5724.5,456.4,4983.4
2025-09-12 10:00:00,QLD1,114.49,9.85,1.47,6150.4,-374.9,6526.5
2025-10-29 07:00:00,NSW1,59.75,3.02,1.13,6178.2,508.8,5450.6
2025-06-20 13:30:00,VIC1,97.1,4.61,2.08,5289.5,229.8,4875.6
2025-09-17 14:00:00,TAS1,37.13,2.25,1.71,1063.1,45.5,878.5
2025-05-24 17:00:00,TAS1,36.36,0.68,0.96,1272.9,-92.2,1326.9
2025-05-24 18:00:00,TAS1,59.71,0.87,2.19,1134.6,89.5,1079.3
2025-10-24 11:00:00,TAS1,-37.25,0.13,0.64,1057.9,12.9,1011.3
2025-07-31 09:00:00,VIC1,155.15,0.97,2.86,4581.3,-123.2,4090.9
2025-08-14 20:00:00,SA1,137.3,2.61,4.08,1430.1,-109.0,1552.4
2025-10-29 15:30:00,SA1,169.92,3.63,3.12,1675.7,182.8,1547.0
2025-09-05 09:30:00,NSW1,125.37,1.77,1.74,6295.5,500.4,4928.6
2025-09-26 19:30:00,NSW1,385.23,4.09,6.5,7842.3,-472.7,7074.9
2025-10-16 20:30:00,NSW1,62.71,1.29,5.23,7299.7,-36.1,7292.2
2025-09-20 16:00:00,NSW1,307.9,5.62,7.34,7153.5,-725.4,7037.6
2025-10-09 22:00:00,SA1,123.43,8.58,1.43,1444.6,125.2,1301.1
2025-06-16 03:00:00,NSW1,179.35,2.47,5.95,5125.0,-1043.0,6467.5
2025-10-27 21:00:00,SA1,87.16,0.21,1.38,1283.8,-163.4,1309.0
2025-08-07 08:00:00,QLD1,68.78,0.66,3.44,5207.6,-577.9,5988.3
2025-07-21 14:00:00,NSW1,115.9,3.71,2.02,6810.1,-816.8,7669.7
2025-06-23 00:00:00,SA1,51.45,0.73,2.25,1301.0,-64.9,1392.8
2025-06-28 06:30:00,NSW1,53.17,1.75,0.69,6765.8,-222.1,6331.6
2025-06-21 00:00:00,TAS1,126.08,6.11,2.06,771.3,146.0,584.1
2025-05-26 07:00:00,VIC1,144.38,16.3,0.76,4936.6,52.4,4439.0
2025-07-13 15:30:00,SA1,122.7,3.27,4.14,1633.3,22.0,1449.3
2025-08-04 02:00:00,TAS1,109.42,5.18,1.16,676.6,8.5,657.8
2025-11-12 03:00:00,TAS1,143.36,1.15,1.25,771.3,109.2,633.2
2025-09-11 09:30:00,QLD1,47.6,0.66,0.84,6532.5,-177.3,6211.6
2025-10-09 08:00:00,SA1,83.24,1.25,2.64,1619.1,181.0,1303.9
2025-09-04 02:30:00,QLD1,114.11,2.16,3.05,5185.2,353.5,4396.1
2025-10-16 17:30:00,QLD1,362.96,10.12,19.12,6819.5,-914.9,8045.8
2025-10-30 23:00:00,TAS1,229.31,5.03,3.23,1035.3,-124.7,1185.1
2025-11-03 12:30:00,VIC1,127.99,2.02,2.94,4839.3,-131.1,5153.0
2025-10-21 16:00:00,NSW1,148.65,0.94,2.72,8698.2,1241.2,6524.3
2025-09-27 09:00:00,TAS1,39.72,0.86,1.93,1033.9,24.2,900.8
2025-08-22 09:00:00,QLD1,78.54,3.1,7.06,7020.6,-1056.6,7914.1
2025-06-24 02:30:00,TAS1,70.42,0.7,0.23,714.1,-34.2,772.1
2025-06-15 07:30:00,TAS1,68.22,3.18,0.64,974.5,177.0,750.1
2025-11-10 20:30:00,SA1,50.11,0.93,1.88,1400.4,-46.4,1385.8
2025-08-23 02:30:00,VIC1,134.31,2.08,4.88,4072.9,-716.0,4315.2
2025-10-18 10:30:00,SA1,76.74,5.18,0.81,1584.8,67.6,1527.4
2025-11-07 08:30:00,NSW1,-82.95,1.73,3.83,5945.6,866.1,4352.9
2025-06-06 20:00:00,TAS1,142.31,4.99,1.77,1109.0,-72.5,1207.0
2025-10-31 08:00:00,NSW1,89.06,0.66,0.48,6138.8,-338.3,5582.9
2025-07-14 11:00:00,TAS1,159.38,4.76,0.93,838.6,77.1,720.7
2025-09-23 16:30:00,QLD1,401.11,7.0,10.26,6655.2,311.2,6456.7
2025-08-15 13:00:00,SA1,152.64,2.17,4.42,1450.8,-121.3,1514.8
2025-09-20 22:00:00,NSW1,97.49,2.39,4.25,6614.9,552.0,6267.2
2025-08-21 01:30:00,QLD1,111.11,3.19,2.4,4450.7,318.3,3950.8
2025-10-21 21:30:00,VIC1,89.21,1.41,1.84,5603.3,218.9,4612.0
2025-11-11 19:30:00,QLD1,202.29,1.23,3.11,7710.4,339.9,7290.4
2025-09-26 01:00:00,NSW1,32.44,1.07,1.59,4441.2,-858.6,4780.3
2025-08-07 04:00:00,SA1,60.49,1.46,0.52,1055.4,119.5,825.4
2025-09-14 14:30:00,SA1,82.29,1.57,0.89,1392.0,-60.9,1292.9
2025-06-23 03:30:00,TAS1,98.0,2.18,1.0,641.5,29.9,559.3
2025-08-05 03:00:00,NSW1,44.2,0.31,0.9,4791.6,233.8,4579.8
2025-10-06 08:00:00,SA1,133.06,3.19,3.1,1349.6,-59.0,1233.3
2025-08-04 17:00:00,QLD1,334.85,4.26,2.43,8144.1,777.3,7441.5
2025-11-21 09:30:00,SA1,68.56,1.27,1.86,1499.1,294.6,1146.7
2025-08-20 12:30:00,NSW1,96.18,0.52,1.21,6789.6,-730.5,7555.8
2025-10-31 09:00:00,NSW1,117.39,1.98,2.38,7193.9,297.2,6247.6
2025-10-31 11:30:00,NSW1,48.13,3.27,0.9,6589.3,-55.2,6324.6
2025-07-05 09:00:00,QLD1,104.12,1.26,4.04,5117.6,-551.6,4919.3
2025-09-17 18:30:00,QLD1,238.81,14.23,2.03,7790.6,349.9,6824.6
2025-11-12 21:00:00,SA1,226.13,5.42,1.43,1567.9,-18.5,1613.8
2025-10-21 06:00:00,TAS1,49.81,1.23,0.62,1056.3,71.6,880.5
2025-08-20 17:00:00,VIC1,174.48,1.35,1.8,6305.8,95.7,6193.6
2025-08-23 11:30:00,QLD1,80.86,0.91,1.01,6778.0,227.6,5932.5
2025-10-15 17:30:00,VIC1,316.99,3.83,3.2,6027.0,-1005.6,6744.2
2025-08-29 15:30:00,SA1,75.82,1.68,1.2,1527.0,-128.0,1531.9
2025-08-30 15:30:00,VIC1,148.42,4.46,2.38,4337.1,-264.3,4118.3
2025-09-28 04:30:00,QLD1,88.62,0.49,1.69,4023.9,186.9,3998.0
2025-11-19 17:30:00,VIC1,181.19,1.34,0.61,5908.4,-77.2,5590.5
2025-09-27 10:00:00,VIC1,66.0,0.41,0.98,5816.7,199.1,5080.0
2025-08-23 16:00:00,VIC1,148.27,3.54,1.73,6192.5,114.3,6118.3
2025-07-02 22:30:00,QLD1,56.97,1.41,0.59,6147.1,-871.8,7173.9
2025-07-15 18:00:00,VIC1,134.7,0.67,2.5,6638.6,397.4,6199.1
2025-11-08 17:00:00,SA1,329.43,7.26,1.74,1730.4,71.8,1703.4
2025-10-23 16:00:00,TAS1,162.95,1.55,4.32,1339.8,25.1,1320.2
2025-07-03 21:00:00,VIC1,124.82,1.08,5.01,5569.7,142.8,5653.1
2025-07-28 03:30:00,TAS1,40.14,1.34,0.85,717.1,95.4,586.0
2025-09-20 19:00:00,TAS1,164.76,1.06,4.98,1311.9,114.4,1192.4
2025-09-17 04:00:00,NSW1,95.87,0.64,1.53,4634.7,-308.2,4406.4
2025-07-28 22:30:00,SA1,116.64,4.51,1.16,1507.7,14.1,1272.1
2025-09-29 05:30:00,VIC1,217.07,3.36,1.73,3686.6,317.1,3251.7
2025-07-14 05:30:00,SA1,28.72,2.8,0.77,1007.6,-27.5,932.6
2025-11-03 04:30:00,TAS1,134.96,6.14,2.69,668.5,6.4,608.1
2025-11-20 18:30:00,TAS1,150.9,5.28,1.85,1172.3,-30.4,1232.4
2025-07-12 08:30:00,SA1,60.87,2.49,1.25,1394.8,23.4,1223.6
2025-09-24 16:30:00,QLD1,277.89,3.82,3.07,8218.2,-294.2,8020.5
2025-09-02 01:30:00,SA1,58.14,0.42,0.13,1026.4,113.1,843.2
2025-07-14 13:30:00,VIC1,331.67,6.27,7.95,4702.5,-859.3,5720.4
2025-09-15 17:30:00,NSW1,636.67,11.38,12.74,7119.1,-532.0,7302.9
2025-10-03 08:30:00,VIC1,44.72,5.77,4.5,4620.6,374.5,3788.6
2025-08-24 12:00:00,QLD1,114.98,1.0,0.72,6247.0,621.9,5136.0
2025-10-07 23:30:00,NSW1,106.83,4.22,6.66,7086.0,-124.3,7530.4
2025-11-12 19:30:00,SA1,747.09,19.14,5.28,2012.2,80.7,1682.2
2025-07-29 01:00:00,NSW1,146.0,1.52,1.11,5274.1,-661.8,5479.4
2025-07-28 18:00:00,QLD1,175.94,4.1,3.52,8256.9,-299.2,8744.1
2025-11-09 20:30:00,NSW1,91.24,0.97,1.21,6406.4,-217.8,5646.9
2025-10-15 07:30:00,TAS1,36.46,0.5,5.07,854.8,-146.0,963.0
2025-11-16 11:00:00,SA1,87.43,0.6,1.0,1415.1,-100.4,1565.0
2025-10-09 17:30:00,NSW1,82.82,1.59,0.37,8847.8,-260.7,9492.7
2025-07-11 07:00:00,VIC1,104.19,1.68,3.3,5185.9,526.6,4280.5
2025-09-04 16:00:00,VIC1,132.65,2.06,1.86,6079.5,-154.5,5984.1
2025-10-04 00:00:00,VIC1,31.75,0.19,1.46,3610.5,-10.8,3088.3
2025-07-29 22:00:00,NSW1,106.19,5.01,0.99,6921.8,-809.4,8031.7
2025-06-29 18:00:00,TAS1,298.31,10.89,13.09,1106.1,44.4,1098.4
2025-10-04 11:00:00,NSW1,95.01,2.52,0.59,6282.0,-1098.0,6889.5
2025-07-02 18:00:00,VIC1,530.58,12.55,2.6,6930.8,909.7,6058.9
2025-11-16 01:00:00,VIC1,42.2,0.75,1.53,3671.9,-29.5,3324.8
2025-10-11 15:00:00,VIC1,78.42,1.44,1.13,5221.5,-422.3,4961.6
2025-10-17 00:00:00,VIC1,100.69,4.46,5.88,3441.1,-374.1,3308.8
2025-11-12 01:00:00,VIC1,36.57,0.64,0.65,3143.6,-504.5,3626.2
2025-11-07 08:00:00,VIC1,240.53,4.49,3.18,4438.2,25.6,4025.4
2025-08-22 06:30:00,QLD1,105.51,1.6,4.6,6847.8,150.1,6141.3
2025-07-29 19:00:00,QLD1,224.2,2.4,3.9,7237.8,323.6,6759.8
2025-07-20 03:30:00,VIC1,61.77,3.08,0.82,3353.0,-325.4,3450.9
2025-10-02 23:30:00,NSW1,58.27,1.47,1.24,6114.4,-554.3,6127.5
2025-07-14 09:00:00,TAS1,43.46,0.65,1.82,886.1,-78.3,892.2
2025-09-28 19:00:00,TAS1,149.83,3.62,1.39,1246.8,91.9,1117.1
2025-08-14 14:00:00,TAS1,235.65,6.61,5.4,1146.2,34.3,980.6
2025-07-04 23:00:00,NSW1,37.17,2.02,1.65,6639.5,-1065.6,8060.2
2025-09-17 13:00:00,TAS1,35.6,0.48,1.12,1009.7,-15.9,948.4
2025-06-20 09:00:00,QLD1,122.63,2.91,0.94,5913.3,553.6,5441.2
2025-11-07 06:30:00,SA1,55.54,0.61,3.14,1551.6,-53.7,1594.4
2025-07-14 21:00:00,QLD1,40.07,1.73,0.28,6728.3,227.9,6588.0
2025-10-07 01:30:00,QLD1,212.91,3.67,2.19,5780.8,-306.9,5881.5
2025-09-03 04:30:00,SA1,224.37,4.66,3.56,1107.8,-38.6,1104.9
2025-10-31 02:00:00,NSW1,210.37,1.8,10.56,6161.6,111.9,5242.5
2025-10-06 20:00:00,TAS1,60.56,0.76,1.46,1033.7,45.4,926.5
2025-10-09 02:30:00,QLD1,62.54,3.22,0.27,4917.8,-334.7,4880.0
2025-08-29 14:00:00,SA1,46.79,2.65,3.66,1451.9,-56.4,1491.5
2025-08-10 08:00:00,QLD1,115.44,1.87,2.67,6466.5,425.2,5222.8
2025-06-10 14:00:00,NSW1,87.73,0.98,0.52,7202.4,-857.2,8145.2
2025-11-13 13:00:00,SA1,45.23,0.66,0.44,1496.9,50.3,1256.4
2025-09-01 12:00:00,QLD1,78.07,4.35,1.17,6794.2,-256.7,6466.3
2025-09-11 11:30:00,TAS1,89.9,0.62,5.36,959.3,-4.8,884.2
2025-11-04 09:00:00,TAS1,71.05,1.56,1.3,926.0,-9.6,834.4
2025-08-14 11:30:00,NSW1,92.05,2.08,1.99,7371.5,1389.5,5532.1
2025-05-31 14:30:00,TAS1,134.41,1.89,2.74,924.0,101.5,840.2
2025-09-24 12:00:00,QLD1,141.25,1.85,3.91,6303.3,1131.6,5330.5
2025-06-24 12:00:00,NSW1,72.84,0.38,1.43,6839.2,-42.0,6164.1
2025-10-08 03:00:00,NSW1,80.29,1.74,0.95,4778.3,-741.5,5205.8
2025-09-24 15:00:00,NSW1,49.24,0.82,3.95,7549.4,1063.0,6595.9
2025-09-04 23:30:00,TAS1,82.0,0.62,0.71,985.0,-95.2,1058.3
2025-08-08 01:00:00,SA1,65.37,1.56,0.73,1093.9,84.5,947.5
2025-08-19 23:30:00,QLD1,55.94,0.58,2.14,6916.9,114.2,6926.0
2025-06-27 01:00:00,VIC1,114.08,2.42,2.76,3897.1,745.6,3102.4
2025-11-06 08:00:00,QLD1,160.05,1.17,1.85,5764.2,-55.5,5033.6
2025-07-11 15:00:00,TAS1,68.08,3.6,0.66,1044.8,-87.0,966.3
2025-08-24 10:30:00,TAS1,75.42,3.35,0.48,979.4,-54.1,948.4
2025-06-09 00:00:00,SA1,117.5,2.32,1.81,978.3,229.4,753.3
2025-08-29 22:00:00,QLD1,120.61,1.9,0.7,5633.6,278.1,4889.6
2025-11-06 11:00:00,NSW1,44.9,2.18,0.76,6312.8,238.8,5771.7
2025-11-10 11:30:00,SA1,71.53,1.12,0.82,1552.9,178.9,1404.9
2025-09-05 21:30:00,QLD1,69.28,1.17,0.95,6314.7,363.0,6129.0
2025-11-14 22:30:00,QLD1,63.91,1.72,3.36,5805.9,200.5,5100.4
2025-06-04 14:00:00,TAS1,189.41,1.08,4.83,1086.7,-160.0,1110.2
2025-09-19 15:00:00,VIC1,61.45,2.27,1.25,5473.4,-282.6,5033.3
2025-10-15 00:30:00,TAS1,83.28,3.26,1.5,822.5,64.1,679.1
2025-08-09 22:30:00,VIC1,59.5,0.46,0.13,5172.6,-108.6,5447.4
2025-08-23 01:30:00,NSW1,99.08,2.23,0.82,6277.4,718.5,5294.3
2025-06-19 08:00:00,SA1,45.26,0.37,0.58,1485.9,-196.6,1501.3
2025-08-19 01:30:00,QLD1,81.82,3.96,0.43,4120.8,-487.5,4443.8
2025-06-11 02:30:00,QLD1,215.04,7.67,3.51,4317.7,486.6,3967.9
2025-10-27 18:00:00,QLD1,140.51,1.06,0.36,7668.4,77.5,6795.9
2025-07-18 09:30:00,VIC1,214.94,7.02,1.5,4913.5,-97.7,5222.0
2025-07-11 13:30:00,NSW1,29.24,0.78,1.26,6532.5,247.1,6521.2
2025-05-25 19:30:00,QLD1,260.83,2.9,2.15,7627.5,-551.0,7944.6
2025-05-30 21:30:00,QLD1,68.91,0.94,2.11,6005.3,180.9,5916.5
2025-10-25 09:00:00,NSW1,202.06,5.42,7.22,5784.2,405.2,5125.8
2025-07-30 13:00:00,QLD1,68.1,1.33,5.02,6626.5,-389.8,6843.3
2025-07-03 17:00:00,SA1,409.61,11.41,12.45,1654.0,220.2,1274.0
2025-11-19 01:30:00,SA1,41.36,0.8,1.47,1053.3,150.6,911.4
2025-06-22 00:00:00,VIC1,340.78,5.25,5.21,3254.7,-709.9,3695.4
2025-06-11 05:30:00,TAS1,65.72,0.4,1.19,666.5,-152.9,756.9
2025-08-21 13:00:00,VIC1,61.26,0.72,3.02,5365.3,-468.5,5403.0
2025-05-27 16:30:00,QLD1,182.14,3.02,2.62,8480.2,-358.8,8922.9
2025-09-17 08:00:00,QLD1,98.79,1.02,2.53,6080.3,-91.5,6095.6
2025-06-20 11:00:00,QLD1,130.44,7.6,0.58,6064.6,75.9,5913.8
2025-05-31 08:00:00,VIC1,52.86,0.22,1.36,5308.3,489.5,4446.6
2025-11-03 13:00:00,TAS1,124.8,2.87,1.65,1052.7,-148.0,1238.5
2025-06-16 04:30:00,TAS1,35.5,0.35,0.95,778.8,-147.6,794.6
2025-08-19 22:30:00,VIC1,122.46,0.65,0.87,5491.6,-906.5,5770.7
2025-11-14 16:30:00,QLD1,331.36,3.75,7.93,7465.7,-131.8,7740.2
2025-11-16 15:00:00,SA1,397.97,4.87,2.14,1440.3,144.2,1245.7
2025-09-12 00:30:00,TAS1,226.38,3.05,2.02,827.4,5.2,764.1
2025-10-26 23:00:00,QLD1,106.35,1.91,0.56,6876.4,382.5,5743.2
2025-11-09 19:30:00,SA1,164.07,8.84,5.41,1669.0,4.1,1422.0
2025-09-22 10:00:00,SA1,73.8,2.46,0.44,1408.9,175.1,1087.1
2025-07-01 09:00:00,QLD1,108.92,1.13,0.69,6200.6,921.0,4852.0
2025-07-18 04:00:00,QLD1,180.06,5.77,5.55,4443.9,1121.1,3257.6
2025-10-16 16:00:00,NSW1,154.06,2.87,3.85,8824.3,334.7,8037.0
2025-11-14 12:30:00,TAS1,54.96,0.97,1.7,968.7,-31.9,872.4
2025-06-19 15:00:00,QLD1,140.53,2.26,1.14,6507.6,-539.9,6397.1
2025-10-30 07:30:00,TAS1,39.2,1.43,3.89,852.7,39.2,725.0
2025-09-14 00:00:00,QLD1,74.55,2.93,0.08,4561.5,-5.8,4311.1
2025-07-14 18:00:00,QLD1,346.12,2.4,13.1,7756.9,-19.7,8018.1
2025-10-17 09:30:00,NSW1,46.16,0.21,0.24,7152.8,206.0,6939.4
2025-06-02 08:30:00,SA1,97.25,1.66,0.75,1523.8,-30.5,1347.0
2025-06-23 13:30:00,NSW1,91.55,4.32,0.92,7694.7,1888.9,5115.0
2025-09-30 13:30:00,TAS1,130.05,2.18,1.75,1001.2,5.2,1008.3
2025-06-09 14:00:00,NSW1,83.25,0.86,0.76,7431.6,719.2,6775.7
2025-10-15 02:30:00,TAS1,65.68,0.8,0.36,720.2,-38.3,769.6
2025-09-18 16:00:00,VIC1,387.57,7.58,15.71,5805.9,-377.6,5767.0
2025-09-09 10:30:00,SA1,84.24,1.31,0.9,1397.9,-114.6,1338.5
2025-08-19 04:30:00,SA1,59.16,1.65,2.06,1197.0,-290.0,1542.9
2025-07-28 07:30:00,SA1,-826.5,26.1,4.33,1540.4,-30.6,1614.8
2025-08-29 22:00:00,SA1,256.83,14.21,18.54,1614.5,216.5,1340.3
2025-11-20 23:00:00,VIC1,109.76,0.78,1.69,4784.4,551.6,4195.3
