notice_id,notice_type,issue_time,reason,effective_date,region_id,intervention
24,LOR3,2025-06-26 11:23:54,LACK OF RESERVE LEVEL 3 — EMERGENCY: NSW1 is experiencing a reserve deficit of 362 MW. AEMO is issuing directions under NER clause 4.8.9 to all available generators in NSW1 and adjacent regions. Load shedding may be required to maintain system security. AEMO is in contact with NSW1 DNSP to coordi...,2025-06-26 12:26:54,NSW1,True
25,LOR3,2025-09-09 23:04:03,LOR3 EMERGENCY DECLARED — QLD1: Emergency directions issued. Available capacity 2087 MW against minimum requirement 2164 MW. AEMO has contacted all registered participants. Involuntary load shedding 66 MW now active. Situation is being monitored continuously.,2025-09-10 00:47:03,QLD1,True
26,LOR1,2025-05-02 11:17:48,"LACK OF RESERVE LEVEL 1 NOTICE — SA1: Projected reserve margin is 52 MW, below the LOR1 threshold of 222 MW for the trading interval commencing 11:17 AEST. Participants are requested to make available any additional capacity. AEMO is monitoring the situation and will issue further notices as cond...",2025-05-02 12:11:48,SA1,False
27,MARKET NOTICE,2024-12-03 06:31:51,CONSTRAINT ACTIVATION NOTICE: Constraint set F_I+LREG+ML_RREG_0600 has been activated from 06:31 AEST. The constraint applies to SA1. RHS value: 460 MW. Reason: planned works on Snowy 2.0 transmission connection — commissioning phase restriction. Affected generators have been notified via EMMS. T...,2024-12-03 08:08:51,,False
28,MARKET NOTICE,2025-03-10 01:32:22,INTERCONNECTOR LIMIT REDUCTION — V-S-MNSP1: The transfer capability of V-S-MNSP1 has been reduced to 1740 MW in the westward direction from 01:32 AEST until further notice due to vegetation growth reducing conductor-to-ground clearance below statutory limit. Constraint set V^MLTS1-HYTS_E has been...,2025-03-10 02:09:22,,False
29,MARKET NOTICE,2025-01-05 10:11:12,"MARKET PRICE CAP DECLARATION — VIC1: The Regional Reference Price for VIC1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 10:11 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8....",2025-01-05 11:15:12,,False
30,SYSTEM NORMAL,2025-08-17 04:59:34,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 00:59 AEST on 17 August 2025 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2025-08-17 05:17:34,,False
31,LOR2,2025-08-23 16:35:39,"LACK OF RESERVE LEVEL 2 NOTICE — VIC1: Directed reserve shortfall. Available capacity 4303 MW, requirement 4624 MW. AEMO is directing semi-scheduled generators and will consider emergency directions under clause 4.8.9 of the NER if the situation does not improve within the next two dispatch inter...",2025-08-23 18:13:39,VIC1,True
32,LOR1,2025-04-01 15:26:37,LOR1 DECLARED — QLD1: Reserve shortfall forecast for 15:26 AEST. Available generation 3805 MW against requirement 3974 MW. Net shortfall 147 MW. Demand response providers and semi-scheduled generators requested to maximise output. Direction may be issued if reserve levels deteriorate further.,2025-04-01 15:54:37,QLD1,False
33,MARKET NOTICE,2025-05-31 14:47:11,"MARKET PRICE CAP DECLARATION — NSW1: The Regional Reference Price for NSW1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 14:47 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8....",2025-05-31 15:03:11,,False
34,MARKET NOTICE,2025-09-06 12:09:12,CONSTRAINT ACTIVATION NOTICE: Constraint set V^GUNNQ_MUGG_E has been activated from 12:09 AEST. The constraint applies to VIC1. RHS value: 734 MW. Reason: planned works on Snowy 2.0 transmission connection — commissioning phase restriction. Affected generators have been notified via EMMS. The con...,2025-09-06 12:38:12,,False
35,MARKET NOTICE,2025-01-10 01:00:36,INTERCONNECTOR LIMIT REDUCTION — T-V-MNSP1: The transfer capability of T-V-MNSP1 has been reduced to 1606 MW in the northward direction from 01:00 AEST until further notice due to bushfire-related pre-emptive constraint — high fire danger in transmission corridor. Constraint set V^GUNNQ_MUGG_E ha...,2025-01-10 01:18:36,,False
36,SYSTEM NORMAL,2024-12-25 01:56:36,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 23:56 AEST on 24 December 2024 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2024-12-25 03:12:36,,False
37,LOR2,2024-12-23 12:43:19,LACK OF RESERVE LEVEL 2 — VIC1: AEMO declares LOR2 for 12:43 AEST. Forecast reserve 208 MW below threshold. All available FCAS providers must register to bid. AEMO is in contact with large industrial loads regarding voluntary demand response. Interconnector flows being optimised.,2024-12-23 13:58:19,VIC1,True
38,LOR1,2025-05-06 02:34:56,"LACK OF RESERVE LEVEL 1 NOTICE — VIC1: Projected reserve margin is 71 MW, below the LOR1 threshold of 329 MW for the trading interval commencing 02:34 AEST. Participants are requested to make available any additional capacity. AEMO is monitoring the situation and will issue further notices as con...",2025-05-06 04:01:56,VIC1,False
39,LOR1,2025-07-12 06:06:20,LOR1 DECLARED — SA1: Reserve shortfall forecast for 06:06 AEST. Available generation 4344 MW against requirement 4426 MW. Net shortfall 251 MW. Demand response providers and semi-scheduled generators requested to maximise output. Direction may be issued if reserve levels deteriorate further.,2025-07-12 07:45:20,SA1,False
40,RESERVE NOTICE,2025-11-12 18:25:02,ADVANCE RESERVE NOTICE — TAS1: AEMO is advising market participants of forecast tight reserve conditions for trading day 15 November 2025. Forecast demand 9459 MW. Current committed generation 8741 MW. Participants with mothballed or decommissioned units are invited to advise AEMO of availability...,2025-11-12 19:25:02,TAS1,False
41,SYSTEM NORMAL,2025-01-06 00:28:03,SYSTEM NORMAL — SA1: Reserve conditions have returned to normal levels in SA1. The LOR3 notice issued at 20:28 AEST on 05 January 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-01-06 02:23:03,,False
42,SYSTEM NORMAL,2025-07-16 11:05:42,SYSTEM NORMAL — VIC1: Reserve conditions have returned to normal levels in VIC1. The LOR2 notice issued at 07:05 AEST on 16 July 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-07-16 11:49:42,,False
43,LOR2,2025-06-24 02:09:46,LACK OF RESERVE LEVEL 2 — VIC1: AEMO declares LOR2 for 02:09 AEST. Forecast reserve 169 MW below threshold. All available FCAS providers must register to bid. AEMO is in contact with large industrial loads regarding voluntary demand response. Interconnector flows being optimised.,2025-06-24 03:30:46,VIC1,True
44,MARKET NOTICE,2025-09-14 06:29:19,CONSTRAINT ACTIVATION NOTICE: Constraint set F_MAIN+ML_MR_0600 has been activated from 06:29 AEST. The constraint applies to SA1. RHS value: 1021 MW. Reason: maintenance outage on Tumut 3 transformer 2 reducing available transfer capability. Affected generators have been notified via EMMS. The co...,2025-09-14 07:15:19,,False
45,RESERVE NOTICE,2025-07-09 04:52:49,ADVANCE RESERVE NOTICE — NSW1: AEMO is advising market participants of forecast tight reserve conditions for trading day 14 July 2025. Forecast demand 12034 MW. Current committed generation 11415 MW. Participants with mothballed or decommissioned units are invited to advise AEMO of availability w...,2025-07-09 06:48:49,NSW1,False
46,MARKET NOTICE,2025-07-23 10:11:30,INTERCONNECTOR LIMIT REDUCTION — T-V-MNSP1: The transfer capability of T-V-MNSP1 has been reduced to 1008 MW in the northward direction from 10:11 AEST until further notice due to network overload protection — South Australia radial supply risk. Constraint set S^NIL_PEAK_1530_3 has been applied. ...,2025-07-23 12:07:30,,False
47,MARKET NOTICE,2025-03-15 22:23:09,CONSTRAINT ACTIVATION NOTICE: Constraint set N_X_HYTS_GUN_1 has been activated from 22:23 AEST. The constraint applies to SA1. RHS value: 432 MW. Reason: planned works on Snowy 2.0 transmission connection — commissioning phase restriction. Affected generators have been notified via EMMS. The cons...,2025-03-15 22:46:09,,False
48,SYSTEM NORMAL,2025-11-06 02:26:05,SYSTEM NORMAL — QLD1: Reserve conditions have returned to normal levels in QLD1. The LOR3 notice issued at 23:26 AEST on 05 November 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-11-06 03:57:05,,False
49,LOR1,2025-03-16 15:45:00,"LACK OF RESERVE LEVEL 1 NOTICE — SA1: Projected reserve margin is 369 MW, below the LOR1 threshold of 618 MW for the trading interval commencing 15:45 AEST. Participants are requested to make available any additional capacity. AEMO is monitoring the situation and will issue further notices as con...",2025-03-16 16:25:00,SA1,False
50,MARKET NOTICE,2025-11-07 20:19:58,"ADMINISTERED PRICE CAP NOTICE — NSW1: The cumulative price threshold has been breached in NSW1. The Administered Price Cap of $300/MWh will apply from trading interval 20:19 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids ...",2025-11-07 21:03:58,,False
51,SYSTEM NORMAL,2025-09-07 22:26:14,SYSTEM NORMAL — NSW1: Reserve conditions have returned to normal levels in NSW1. The LOR2 notice issued at 16:26 AEST on 07 September 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this t...,2025-09-07 23:30:14,,False
52,MARKET NOTICE,2025-10-07 09:29:05,CONSTRAINT ACTIVATION NOTICE: Constraint set V^MLTS1-HYTS_E has been activated from 09:29 AEST. The constraint applies to QLD1. RHS value: 608 MW. Reason: planned works on Snowy 2.0 transmission connection — commissioning phase restriction. Affected generators have been notified via EMMS. The con...,2025-10-07 09:47:05,,False
53,LOR3,2024-12-29 17:53:42,LOR3 EMERGENCY DECLARED — TAS1: Emergency directions issued. Available capacity 1618 MW against minimum requirement 1815 MW. AEMO has contacted all registered participants. Involuntary load shedding 143 MW now active. Situation is being monitored continuously.,2024-12-29 18:15:42,TAS1,True
54,SYSTEM NORMAL,2024-12-30 14:03:07,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 12:03 AEST on 30 December 2024 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2024-12-30 15:17:07,,False
55,SYSTEM NORMAL,2025-10-10 06:27:46,SYSTEM NORMAL — VIC1: Reserve conditions have returned to normal levels in VIC1. The LOR2 notice issued at 03:27 AEST on 10 October 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-10-10 07:47:46,,False
56,LOR2,2024-11-28 03:05:25,"LACK OF RESERVE LEVEL 2 NOTICE — NSW1: Directed reserve shortfall. Available capacity 3053 MW, requirement 3270 MW. AEMO is directing semi-scheduled generators and will consider emergency directions under clause 4.8.9 of the NER if the situation does not improve within the next two dispatch inter...",2024-11-28 03:26:25,NSW1,True
57,MARKET NOTICE,2025-10-17 01:23:41,"ADMINISTERED PRICE CAP NOTICE — NSW1: The cumulative price threshold has been breached in NSW1. The Administered Price Cap of $300/MWh will apply from trading interval 01:23 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids ...",2025-10-17 02:30:41,,False
58,SYSTEM NORMAL,2025-10-28 20:48:53,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 19:48 AEST on 28 October 2025 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2025-10-28 21:48:53,,False
59,MARKET NOTICE,2025-09-07 04:04:19,INTERCONNECTOR LIMIT REDUCTION — T-V-MNSP1: The transfer capability of T-V-MNSP1 has been reduced to 1450 MW in the northward direction from 04:04 AEST until further notice due to vegetation growth reducing conductor-to-ground clearance below statutory limit. Constraint set V^HYTS_MLTS_N has been...,2025-09-07 05:20:19,,False
60,MARKET NOTICE,2025-08-04 01:13:33,"MARKET PRICE CAP DECLARATION — NSW1: The Regional Reference Price for NSW1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 01:13 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8....",2025-08-04 02:02:33,,False
61,SYSTEM NORMAL,2025-08-21 21:37:38,SYSTEM NORMAL — QLD1: Reserve conditions have returned to normal levels in QLD1. The LOR1 notice issued at 18:37 AEST on 21 August 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-08-21 22:26:38,,False
62,LOR1,2025-10-31 01:20:45,"LACK OF RESERVE LEVEL 1 NOTICE — VIC1: Projected reserve margin is 282 MW, below the LOR1 threshold of 479 MW for the trading interval commencing 01:20 AEST. Participants are requested to make available any additional capacity. AEMO is monitoring the situation and will issue further notices as co...",2025-10-31 03:01:45,VIC1,False
63,SYSTEM NORMAL,2025-04-24 12:07:18,SYSTEM NORMAL — NSW1: Reserve conditions have returned to normal levels in NSW1. The LOR3 notice issued at 09:07 AEST on 24 April 2025 is hereby cancelled. All directed participants may resume normal bidding. AEMO thanks participants for their response. No further action is required at this time.,2025-04-24 12:12:18,,False
64,MARKET NOTICE,2024-12-08 10:17:08,"MARKET PRICE CAP DECLARATION — SA1: The Regional Reference Price for SA1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 10:17 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8.22...",2024-12-08 10:31:08,,False
65,MARKET NOTICE,2025-07-08 16:40:41,"MARKET PRICE CAP DECLARATION — NSW1: The Regional Reference Price for NSW1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 16:40 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8....",2025-07-08 17:35:41,,False
66,MARKET NOTICE,2025-01-28 09:07:41,"ADMINISTERED PRICE CAP NOTICE — NSW1: The cumulative price threshold has been breached in NSW1. The Administered Price Cap of $300/MWh will apply from trading interval 09:07 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids ...",2025-01-28 09:34:41,,False
67,MARKET NOTICE,2024-12-13 19:33:43,"ADMINISTERED PRICE CAP NOTICE — NSW1: The cumulative price threshold has been breached in NSW1. The Administered Price Cap of $300/MWh will apply from trading interval 19:33 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids ...",2024-12-13 20:17:43,,False
68,RESERVE NOTICE,2025-02-03 02:31:08,"SUMMER DEMAND RESERVE NOTICE — SA1: Elevated demand forecast for the period 06 February 2025. Peak demand forecast 5352 MW, representing 19% above seasonal average. Participants are reminded that additional capacity must be registered and available for dispatch. AEMO will publish updated forecast...",2025-02-03 03:40:08,SA1,False
69,SYSTEM NORMAL,2025-04-29 18:00:24,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 15:00 AEST on 29 April 2025 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2025-04-29 18:11:24,,False
70,SYSTEM NORMAL,2025-08-24 06:48:42,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 04:48 AEST on 24 August 2025 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2025-08-24 08:04:42,,False
71,SYSTEM NORMAL,2025-06-07 04:00:39,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 00:00 AEST on 07 June 2025 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2025-06-07 04:09:39,,False
72,MARKET NOTICE,2025-09-22 09:32:55,"MARKET PRICE CAP DECLARATION — TAS1: The Regional Reference Price for TAS1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 09:32 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8....",2025-09-22 10:07:55,,False
73,MARKET NOTICE,2025-10-27 11:21:37,INTERCONNECTOR LIMIT REDUCTION — V-SA: The transfer capability of V-SA has been reduced to 1725 MW in the westward direction from 11:21 AEST until further notice due to transient stability limit for loss of Loy Yang A unit 4. Constraint set S^NIL_PEAK_1530_3 has been applied. NEMDE will observe t...,2025-10-27 12:57:37,,False
74,MARKET NOTICE,2024-12-23 16:37:04,INTERCONNECTOR LIMIT REDUCTION — V-SA: The transfer capability of V-SA has been reduced to 594 MW in the westward direction from 16:37 AEST until further notice due to transient stability limit for loss of Loy Yang A unit 4. Constraint set V_XEMPT_MAIN+ML has been applied. NEMDE will observe the ...,2024-12-23 17:22:04,,False
75,LOR1,2025-05-05 09:01:13,LOR1 DECLARED — QLD1: Reserve shortfall forecast for 09:01 AEST. Available generation 2828 MW against requirement 3025 MW. Net shortfall 89 MW. Demand response providers and semi-scheduled generators requested to maximise output. Direction may be issued if reserve levels deteriorate further.,2025-05-05 09:36:13,QLD1,False
76,MARKET NOTICE,2025-02-23 10:13:16,INTERCONNECTOR LIMIT REDUCTION — T-V-MNSP1: The transfer capability of T-V-MNSP1 has been reduced to 428 MW in the northward direction from 10:13 AEST until further notice due to voltage stability limit following contingency N-1 on Heywood interconnector. Constraint set Q^^Q_NIL_PEAK_1530 has bee...,2025-02-23 11:43:16,,False
77,MARKET NOTICE,2025-09-02 15:30:19,"MARKET PRICE CAP DECLARATION — NSW1: The Regional Reference Price for NSW1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 15:30 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8....",2025-09-02 17:13:19,,False
78,SYSTEM NORMAL,2024-12-09 00:18:14,SYSTEM NORMAL: All regions operating within normal reserve margins. No directions currently active. The notice issued at 20:18 AEST on 08 December 2024 has been cancelled. AEMO will continue to monitor conditions and will issue further notices if required.,2024-12-09 01:03:14,,False
79,MARKET NOTICE,2025-02-02 13:15:45,"MARKET PRICE CAP DECLARATION — SA1: The Regional Reference Price for SA1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 13:15 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8.22...",2025-02-02 14:07:45,,False
80,MARKET NOTICE,2024-12-08 10:46:43,"ADMINISTERED PRICE CAP NOTICE — QLD1: The cumulative price threshold has been breached in QLD1. The Administered Price Cap of $300/MWh will apply from trading interval 10:46 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids ...",2024-12-08 12:09:43,,False
81,MARKET NOTICE,2025-04-11 15:29:17,CONSTRAINT ACTIVATION NOTICE: Constraint set Q^^Q_NIL_PEAK_1530 has been activated from 15:29 AEST. The constraint applies to TAS1. RHS value: 386 MW. Reason: Basslink power flow control — thermal limit in wet end equipment. Affected generators have been notified via EMMS. The constraint will rem...,2025-04-11 15:38:17,,False
82,MARKET NOTICE,2025-08-22 10:06:28,"ADMINISTERED PRICE CAP NOTICE — TAS1: The cumulative price threshold has been breached in TAS1. The Administered Price Cap of $300/MWh will apply from trading interval 10:06 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids ...",2025-08-22 10:47:28,,False
83,MARKET NOTICE,2025-08-25 10:32:30,"MARKET PRICE CAP DECLARATION — VIC1: The Regional Reference Price for VIC1 has reached the Market Price Cap of $15,300/MWh for the dispatch interval ending 10:32 AEST. This is consistent with the dispatch conditions at the time. AEMO reminds participants of their obligations under NER clause 3.8....",2025-08-25 12:18:30,,False
84,MARKET NOTICE,2025-08-28 04:21:03,"ADMINISTERED PRICE CAP NOTICE — SA1: The cumulative price threshold has been breached in SA1. The Administered Price Cap of $300/MWh will apply from trading interval 04:21 AEST for a period of 7 trading days, or until AEMO advises that the cumulative price threshold is no longer breached. Bids an...",2025-08-28 06:04:03,,False
85,LOR2,2025-06-11 05:03:42,"LACK OF RESERVE LEVEL 2 NOTICE — VIC1: Directed reserve shortfall. Available capacity 2002 MW, requirement 2366 MW. AEMO is directing semi-scheduled generators and will consider emergency directions under clause 4.8.9 of the NER if the situation does not improve within the next two dispatch inter...",2025-06-11 05:28:42,VIC1,True
86,MARKET NOTICE,2025-07-22 12:34:04,INTERCONNECTOR LIMIT REDUCTION — VIC1-NSW1: The transfer capability of VIC1-NSW1 has been reduced to 1201 MW in the northward direction from 12:34 AEST until further notice due to thermal overload risk on Moorabool-Hazelwood 220kV line. Constraint set S^NIL_PEAK_1530_3 has been applied. NEMDE wil...,2025-07-22 13:22:04,,False
87,RESERVE NOTICE,2025-04-28 17:03:24,"SUMMER DEMAND RESERVE NOTICE — NSW1: Elevated demand forecast for the period 29 April 2025. Peak demand forecast 11608 MW, representing 22% above seasonal average. Participants are reminded that additional capacity must be registered and available for dispatch. AEMO will publish updated forecasts...",2025-04-28 18:36:24,NSW1,False
