event_id,event_type,region,subregion,affected_customers,start_time,end_time,duration_minutes,cause_category,cause_description,resolution_description,saidi_minutes,saifi_count
add1f74b-4f63-491f-b345-d9c67afa99b5,unplanned,NSW,Wollongong,499,2023-11-23T04:02:01,2023-11-23T09:19:01,317,third_party,Vandalism at remote switching station — padlock cut and isolator operated without authorisation. Network access policy breach referred to police.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.002709,0.0005
796f398e-ac84-45d6-83e7-849a8d87cc8c,planned,QLD,Cairns,189,2024-05-26T00:25:02,2024-05-26T02:11:02,106,weather,Dust storm reduced visibility and deposited abrasive particulates in open-type switchgear — accelerated wear on contacts identified.,Manual switching restored supply from alternative source. Defective equipment isolated and locked out pending engineering assessment.,0.000291,0.00018
02f12936-e357-4255-b4c6-12906c34fd54,unplanned,NSW,Parramatta,234,2023-06-05T04:43:49,2023-06-05T05:35:49,52,weather,"Bushfire front crossed the transmission corridor, triggering two-pole flashover on 275kV circuit. Pre-emptive public safety power shutoff enacted for 8 feeders.",Cleared vegetation and re-tensioned conductors where sag had reduced clearances. Inspection regime increased to 6-monthly for this span.,0.000241,0.000203
447ccc29-a980-49f7-a931-88f757e4e7fc,planned,SA,Renmark,680,2024-05-06T02:04:47,2024-05-06T02:41:47,37,weather,Heatwave caused thermal overloading on three 11kV feeders serving Melbourne outer suburb load pocket.,Cleared vegetation and re-tensioned conductors where sag had reduced clearances. Inspection regime increased to 6-monthly for this span.,0.000489,0.000675
6ba86243-7d82-4d5b-9ce2-a45f43300fcb,planned,QLD,Mackay,250,2024-05-20T05:38:04,2024-05-20T08:29:04,171,vegetation,Eucalyptus tree contact during high-wind event. Vegetation inspection history shows compliance with minimum clearance standards — extreme wind deflection beyond design assumption.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.00071,0.000258
d91e0dc4-eb35-4338-881b-45a6f3a06900,planned,SA,Port Augusta,61,2023-07-15T23:05:18,2023-07-16T01:55:18,170,weather,Flooding inundated ground-mounted switchgear at zone substation. 600 mm above design flood level recorded.,Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.000139,6.8e-05
d7848368-3e13-4e78-904d-6fd9cec5a81b,unplanned,VIC,Wodonga,701,2025-02-24T20:54:45,2025-02-24T21:53:45,59,equipment_failure,Switchgear flashover triggered by contaminated busbar surface. Atmospheric salt pollution elevated following coastal storm event.,Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.000726,0.000619
831074e1-6dec-4745-8016-3cec2b5fde8c,unplanned,VIC,Melbourne CBD,716,2023-08-17T00:19:30,2023-08-17T03:01:30,162,weather,"Heavy rainfall caused landslip, undermining pole foundations on steep terrain section of distribution feeder.",Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.001982,0.00085
a3220d5c-658c-4b76-a64b-e04b4d49e811,planned,NSW,Port Macquarie,458,2025-12-24T10:42:13,2025-12-24T12:47:13,125,weather,Dust storm reduced visibility and deposited abrasive particulates in open-type switchgear — accelerated wear on contacts identified.,Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.001038,0.000394
fe1153af-0a2c-4380-974d-7da89192a7bd,unplanned,NSW,Dubbo,2184,2023-07-03T01:32:25,2023-07-03T02:52:25,80,weather,"Heavy rainfall caused landslip, undermining pole foundations on steep terrain section of distribution feeder.",Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.002907,0.002516
d136aaa1-12d8-4b28-a1dd-0101991474d8,planned,VIC,Bendigo,1668,2025-05-28T16:23:35,2025-05-28T16:57:35,34,equipment_failure,Circuit breaker mal-operated during routine switching sequence. Root cause: mechanical latch fatigue on main trip mechanism.,Protection settings reviewed and corrected following investigation. Coordination test conducted prior to re-energisation.,0.001077,0.001664
a14cfdb7-02c8-40e8-b25c-4d8221d26029,unplanned,SA,Murray Bridge,56,2025-10-04T03:59:44,2025-10-04T04:57:44,58,weather,Heatwave caused thermal overloading on three 11kV feeders serving Melbourne outer suburb load pocket.,Fault located using TDR and cable sectionalisation. Failed joint excavated and replaced with factory-made joint kit. Pressure test passed.,4.7e-05,5.9e-05
c6841836-f44a-4df3-b78d-e66b1d6917d6,unplanned,SA,Adelaide CBD,638,2025-06-27T19:52:55,2025-06-27T20:47:55,55,vegetation,Tree fell across multiple spans during night storm. Difficult terrain access extended restoration time by 3.5 hours.,Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.000659,0.00061
92bc352c-46e7-4c10-beb4-e528d1b7fb8e,planned,QLD,Sunshine Coast,458,2024-08-08T17:27:46,2024-08-08T18:34:46,67,vegetation,Bamboo encroachment from adjacent residential boundary — multiple contacts in 12-month period. Formal notice issued to landowner.,Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.000513,0.000532
966413df-5a1f-4fe9-a03d-5876effba1be,unplanned,NSW,Wollongong,135,2023-06-14T09:15:00,2023-06-14T09:37:00,22,third_party,High-load transport escort failed to contact network operations for clearance confirmation — HV conductor contacted by oversized load.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,4.9e-05,0.000156
329b6ea4-1048-476f-8332-d071666fdfe5,unplanned,NSW,Tamworth,1741,2025-10-25T05:30:37,2025-10-25T06:01:37,31,vegetation,Bamboo encroachment from adjacent residential boundary — multiple contacts in 12-month period. Formal notice issued to landowner.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.000827,0.001649
43659ffe-44e6-4639-89d8-ec4fc7278bf2,unplanned,NSW,Dubbo,1883,2023-09-05T10:58:08,2023-09-05T12:02:08,64,unknown,"Fault cause under investigation — protection operated correctly, fault current consistent with phase-to-earth event. No obvious cause identified during daylight patrol.",Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.00209,0.001674
b1fa1336-8503-4df8-86eb-e015825dc142,unplanned,WA,Geraldton,75,2023-08-09T01:32:52,2023-08-09T04:02:52,150,equipment_failure,Circuit breaker mal-operated during routine switching sequence. Root cause: mechanical latch fatigue on main trip mechanism.,Protection settings reviewed and corrected following investigation. Coordination test conducted prior to re-energisation.,0.000177,7.4e-05
b0deeb54-81df-40ff-8f35-23fa0bd71304,planned,NSW,Albury,428,2024-10-11T03:20:56,2024-10-11T07:10:56,230,weather,Severe thunderstorm with gusts exceeding 110 km/h brought down three 132kV towers across a 1.4 km section of transmission corridor.,Manual switching restored supply from alternative source. Defective equipment isolated and locked out pending engineering assessment.,0.001559,0.000468
8a1e8bfa-e318-442d-a3a8-946ddaf09352,unplanned,WA,Mandurah,355,2024-07-31T15:20:22,2024-07-31T17:34:22,134,vegetation,Palm frond in high-wind conditions bridged gap between conductors on uninsulated overhead line in residential precinct.,Fault located using TDR and cable sectionalisation. Failed joint excavated and replaced with factory-made joint kit. Pressure test passed.,0.000723,0.000389
f3a18222-ada5-48c9-8af6-997789742e60,unplanned,QLD,Toowoomba,371,2025-06-29T03:45:31,2025-06-29T04:55:31,70,equipment_failure,Protection relay mis-trip caused by CT secondary open circuit during maintenance access. Maintenance management process review initiated.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.00036,0.000423
ee9fa0d2-c599-44ea-b0f5-a174b5a31a63,emergency,VIC,Geelong,665,2023-07-09T07:54:07,2023-07-09T11:06:07,192,equipment_failure,Transformer failed due to insulation breakdown after 28 years of service. Post-incident analysis confirmed moisture ingress through degraded bushing seal.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.001864,0.000551
85216166-5130-4926-8393-10ec603375d2,unplanned,QLD,Bundaberg,228,2023-10-23T12:23:55,2023-10-23T13:14:55,51,equipment_failure,Circuit breaker mal-operated during routine switching sequence. Root cause: mechanical latch fatigue on main trip mechanism.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000215,0.000191
0e5cea15-778c-46f2-a5ce-4e0de93dc599,unplanned,NSW,Newcastle,2095,2023-03-10T03:15:26,2023-03-10T04:06:26,51,weather,Heatwave caused thermal overloading on three 11kV feeders serving Melbourne outer suburb load pocket.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.001478,0.001814
6c34955e-6f2b-442a-b6b4-30427b6ce4ed,planned,WA,Rockingham,95,2025-09-01T19:36:25,2025-09-01T20:11:25,35,vegetation,Vegetation contact on 66kV line during prescribed burn — firefighting aircraft operating in same corridor; additional hazard for crews.,Cleared vegetation and re-tensioned conductors where sag had reduced clearances. Inspection regime increased to 6-monthly for this span.,5.5e-05,9e-05
19655528-4711-429a-8686-b69245fb2091,planned,SA,Whyalla,162,2024-04-11T21:51:03,2024-04-11T23:05:03,74,vegetation,Unplanned vegetation growth on private property contacted 11kV conductors — property owner notification and clearance order issued.,Fault located using TDR and cable sectionalisation. Failed joint excavated and replaced with factory-made joint kit. Pressure test passed.,0.000238,0.000165
53018a08-94d8-4c07-92a5-8b5079f73c67,unplanned,VIC,Mornington Peninsula,178,2023-01-28T15:41:02,2023-01-28T17:03:02,82,weather,Dust storm reduced visibility and deposited abrasive particulates in open-type switchgear — accelerated wear on contacts identified.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.000279,0.000208
888ad312-ed16-45ce-bf82-fc32615b41cd,unplanned,SA,Victor Harbor,444,2025-06-10T04:24:23,2025-06-10T06:41:23,137,third_party,Planned civil works by local council exposed and damaged cable duct bank — as-built records not provided to council prior to works.,Emergency crew mobilised overnight. Damaged poles replaced using hydraulic digger-derrick. Supply restored by 06:15 following morning.,0.001005,0.000472
ccb9a789-bdfb-47b3-a11b-530c49c51929,planned,VIC,Mornington Peninsula,497,2024-10-14T08:15:09,2024-10-14T10:30:09,135,equipment_failure,Underground cable fault detected at 2.3 km from substation. TDR testing localised fault to road crossing duct section.,Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.001066,0.000484
5b106160-a7b1-42eb-afdc-8e9f9d115914,planned,NSW,Port Macquarie,522,2025-09-03T00:47:40,2025-09-03T01:45:40,58,vegetation,Eucalyptus tree contact during high-wind event. Vegetation inspection history shows compliance with minimum clearance standards — extreme wind deflection beyond design assumption.,Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.000533,0.000441
41cc23eb-1c2d-43b6-9c8b-19bcec349224,planned,NSW,Albury,1274,2024-09-02T03:48:48,2024-09-02T05:21:48,93,vegetation,Unplanned vegetation growth on private property contacted 11kV conductors — property owner notification and clearance order issued.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.002044,0.001249
92af2b73-0f52-47f8-ac43-b59bfbcfb926,planned,QLD,Sunshine Coast,484,2024-03-28T11:44:43,2024-03-28T13:10:43,86,equipment_failure,Cable joint failure on 11kV underground circuit — XLPE splice integrity compromised following trenching works by third party three months prior.,Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.00079,0.000459
b6894c33-9c78-465d-8f53-c4579c67faec,planned,SA,Port Augusta,258,2023-07-15T12:43:14,2023-07-15T13:52:14,69,unknown,Cause not determined following detailed post-event investigation. Historical fault record suggests intermittent insulation weakness on this circuit section.,Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.000353,0.000236
506ea484-84a5-470d-89ac-1e6303b9700b,emergency,WA,Bunbury,190,2023-03-27T10:08:31,2023-03-27T12:10:31,122,vegetation,Palm frond in high-wind conditions bridged gap between conductors on uninsulated overhead line in residential precinct.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000313,0.000187
93e471a9-e6c4-4323-bcaa-9966abaa36ff,unplanned,WA,Geraldton,232,2025-03-08T09:03:22,2025-03-08T09:22:22,19,weather,Cyclone-force winds in North Queensland caused widespread pole damage across 37 km of rural distribution network.,Fault located using TDR and cable sectionalisation. Failed joint excavated and replaced with factory-made joint kit. Pressure test passed.,6.9e-05,0.000215
318f4d34-0525-4d86-a026-410a1718b62a,planned,QLD,Bundaberg,563,2023-03-24T19:00:07,2023-03-24T21:04:07,124,weather,Ice accretion on conductors near Mount Buller feeder — progressive galloping led to phase-to-phase contact.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000946,0.00065
587c8499-dbae-44bc-b7bc-0e30da6fbc9a,unplanned,VIC,Melbourne CBD,316,2023-08-05T15:55:24,2023-08-05T16:28:24,33,unknown,Transient fault — auto-reclose successful after single attempt. No damage or clear cause identified on patrol.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000179,0.000322
04ec0ca9-d50a-4fd9-abe2-b742bb9009e9,unplanned,NSW,Parramatta,942,2024-10-30T08:55:55,2024-10-30T09:31:55,36,weather,Salt spray deposited on insulator strings during northerly wind event — surface tracking caused fault on 66kV line.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.000473,0.001039
9db58b87-35a2-49bb-a1fb-0056029fc1a9,planned,NSW,Dubbo,373,2023-12-20T02:20:37,2023-12-20T04:34:37,134,weather,"Heavy rainfall caused landslip, undermining pole foundations on steep terrain section of distribution feeder.",Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.000955,0.000406
9d8a36bc-4699-4194-bd47-72a71b8a30af,unplanned,NSW,Orange,2260,2024-08-10T15:30:55,2024-08-10T18:17:55,167,equipment_failure,Cable joint failure on 11kV underground circuit — XLPE splice integrity compromised following trenching works by third party three months prior.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.006849,0.002665
c5071b35-7203-4e04-b53d-3e58eecb5843,unplanned,VIC,Sunbury,837,2023-04-10T12:26:37,2023-04-10T13:39:37,73,unknown,"Fault cause under investigation — protection operated correctly, fault current consistent with phase-to-earth event. No obvious cause identified during daylight patrol.",Manual switching restored supply from alternative source. Defective equipment isolated and locked out pending engineering assessment.,0.000927,0.000859
ab250292-49f3-44c0-a710-53d98854fbdd,emergency,WA,Bunbury,93,2024-12-10T05:47:34,2024-12-10T06:26:34,39,weather,Dust storm reduced visibility and deposited abrasive particulates in open-type switchgear — accelerated wear on contacts identified.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,5.2e-05,7.9e-05
cf6ef471-68a9-4710-947f-0c8967ae4911,unplanned,NSW,Dubbo,308,2024-01-30T10:12:54,2024-01-30T10:40:54,28,unknown,Transient fault — auto-reclose successful after single attempt. No damage or clear cause identified on patrol.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.00014,0.000298
e31b24ef-da6f-417d-9f8a-d5d73154a9cd,unplanned,SA,Mount Gambier,394,2025-06-10T21:02:27,2025-06-10T22:38:27,96,weather,Ice accretion on conductors near Mount Buller feeder — progressive galloping led to phase-to-phase contact.,Protection settings reviewed and corrected following investigation. Coordination test conducted prior to re-energisation.,0.000675,0.000367
8c71e0a9-b614-4726-a57f-6a5648066c06,emergency,VIC,Bendigo,745,2025-01-21T20:27:42,2025-01-22T01:08:42,281,weather,"Bushfire front crossed the transmission corridor, triggering two-pole flashover on 275kV circuit. Pre-emptive public safety power shutoff enacted for 8 feeders.",Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.003364,0.000627
be28af74-867c-4080-a9f2-243445af1f69,planned,NSW,Parramatta,167,2023-03-09T08:13:50,2023-03-09T10:16:50,123,equipment_failure,Underground cable fault detected at 2.3 km from substation. TDR testing localised fault to road crossing duct section.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000346,0.000168
0a63820c-1eeb-421d-a2e2-08bd65db386e,emergency,SA,Adelaide CBD,165,2023-10-03T18:38:34,2023-10-03T19:31:34,53,equipment_failure,SCADA communication loss to remote switching station delayed fault isolation by 42 minutes.,Cleared vegetation and re-tensioned conductors where sag had reduced clearances. Inspection regime increased to 6-monthly for this span.,0.00015,0.000187
c11f9861-b219-4947-bf9a-c4df67952360,unplanned,QLD,Cairns,234,2025-12-23T09:16:07,2025-12-23T10:57:07,101,weather,"Bushfire front crossed the transmission corridor, triggering two-pole flashover on 275kV circuit. Pre-emptive public safety power shutoff enacted for 8 feeders.",Cleared vegetation and re-tensioned conductors where sag had reduced clearances. Inspection regime increased to 6-monthly for this span.,0.000466,0.00023
30e8abff-8f66-46f8-bd17-f7d90be1fa6e,unplanned,NSW,Newcastle,375,2023-05-28T02:51:16,2023-05-28T03:17:16,26,third_party,"Excavation contractor struck 11kV underground cable while trenching for gas main — DBYD lodgement confirmed, incorrect as-built drawings contributed to misalignment.",Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.000136,0.000361
3843ce7a-a5d7-40fd-97d6-f26c7d8d44fc,planned,SA,Victor Harbor,42,2025-11-30T00:51:04,2025-11-30T01:42:04,51,weather,Lightning strike on unshielded 22kV overhead line caused conductor burndown at dead-end structure.,Protection settings reviewed and corrected following investigation. Coordination test conducted prior to re-energisation.,3.3e-05,5e-05
7c4ff53f-c5e5-4b78-8e42-09836c0a2756,unplanned,QLD,Gold Coast,1061,2024-06-29T11:07:41,2024-06-29T16:23:41,316,vegetation,Eucalyptus tree contact during high-wind event. Vegetation inspection history shows compliance with minimum clearance standards — extreme wind deflection beyond design assumption.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.005504,0.001209
25328e17-c036-4cd8-b1f8-18bac486d46c,planned,WA,Perth CBD,26,2023-07-14T18:18:04,2023-07-14T18:46:04,28,third_party,Vehicle strike on pole — B-double truck misjudged clearance on narrow rural road. Pole fractured at base; conductor fell to road surface.,Protection settings reviewed and corrected following investigation. Coordination test conducted prior to re-energisation.,1.3e-05,2.2e-05
4ac574ca-3fe5-4e5c-a5da-6a53c5b11d68,planned,QLD,Bundaberg,91,2023-01-22T16:07:42,2023-01-22T17:03:42,56,third_party,High-load transport escort failed to contact network operations for clearance confirmation — HV conductor contacted by oversized load.,Fault located using TDR and cable sectionalisation. Failed joint excavated and replaced with factory-made joint kit. Pressure test passed.,9.7e-05,7.7e-05
2814b6ec-5ab8-47d8-95d3-6fdbc0e9cc22,unplanned,SA,Adelaide CBD,97,2025-12-21T12:45:37,2025-12-21T18:38:37,353,weather,Lightning strike on unshielded 22kV overhead line caused conductor burndown at dead-end structure.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.000605,0.000111
51974417-921e-4c5f-b104-71dcf1791bc7,unplanned,NSW,Parramatta,444,2023-11-29T12:32:34,2023-11-29T13:58:34,86,weather,"Bushfire front crossed the transmission corridor, triggering two-pole flashover on 275kV circuit. Pre-emptive public safety power shutoff enacted for 8 feeders.",Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.000678,0.000533
06098e08-a595-4b24-bf06-d3c06893ae88,emergency,SA,Murray Bridge,513,2024-01-18T05:01:49,2024-01-18T05:59:49,58,vegetation,Tree fell across multiple spans during night storm. Difficult terrain access extended restoration time by 3.5 hours.,Emergency crew mobilised overnight. Damaged poles replaced using hydraulic digger-derrick. Supply restored by 06:15 following morning.,0.000399,0.000541
167ae553-6f15-416e-8db0-4762bd79fc82,planned,NSW,Parramatta,663,2024-08-02T18:55:46,2024-08-02T21:08:46,133,equipment_failure,Pole-mounted recloser lockout — auto-reclose function disabled in error after firmware update. Crew deployed for manual restoration.,Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.001379,0.000694
76ec4320-cc91-4cc0-8fac-25cfaa193041,unplanned,VIC,Mornington Peninsula,741,2025-06-26T16:22:27,2025-06-26T22:15:27,353,equipment_failure,Fuse failure on 11kV overhead spur — overloaded following load transfer from adjacent feeder under planned outage conditions.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.004812,0.000706
f5d79c79-0519-434c-b201-d7dad91af309,emergency,QLD,Bundaberg,1961,2025-01-25T17:07:31,2025-01-25T18:50:31,103,third_party,High-load transport escort failed to contact network operations for clearance confirmation — HV conductor contacted by oversized load.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,0.003532,0.001626
f99a70e8-e8ee-42cc-9980-c1f5002c548a,unplanned,WA,Albany,649,2023-02-22T05:08:02,2023-02-22T06:36:02,88,weather,Flooding inundated ground-mounted switchgear at zone substation. 600 mm above design flood level recorded.,Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.000894,0.000706
45912964-c64a-4023-b972-1ba87453f000,planned,VIC,Latrobe Valley,39,2025-04-30T06:34:08,2025-04-30T08:02:08,88,equipment_failure,Cable joint failure on 11kV underground circuit — XLPE splice integrity compromised following trenching works by third party three months prior.,Damaged conductors reconductored over two-day planned outage window. Hot-line clamp used to restore partial supply ahead of full conductor replacement.,5.7e-05,3.6e-05
05a28692-1420-4d82-b6d3-2c7c19dd899f,emergency,NSW,Newcastle,1854,2025-01-26T23:35:23,2025-01-27T00:18:23,43,weather,Dust storm reduced visibility and deposited abrasive particulates in open-type switchgear — accelerated wear on contacts identified.,Circuit manually reconfigured from redundant path. Failed component removed and sent for post-incident investigation to OEM.,0.001279,0.001588
6fe0285f-d933-44d0-9354-1db5ef5d55c5,unplanned,SA,Port Augusta,251,2025-11-20T08:09:02,2025-11-20T08:53:02,44,equipment_failure,Cable joint failure on 11kV underground circuit — XLPE splice integrity compromised following trenching works by third party three months prior.,Emergency crew mobilised overnight. Damaged poles replaced using hydraulic digger-derrick. Supply restored by 06:15 following morning.,0.000163,0.000292
3c9cf1bb-7638-44e9-b50f-91a7deef7e09,unplanned,NSW,Parramatta,822,2023-04-15T13:12:25,2023-04-15T15:39:25,147,unknown,Transient fault — auto-reclose successful after single attempt. No damage or clear cause identified on patrol.,Replacement transformer installed from strategic spare. Network restored within 8 hours of fault. Post-energisation monitoring in place for 72 hours.,0.002142,0.0008
4bb622f4-91a9-4fc4-8a34-321bd2448649,unplanned,QLD,Rockhampton,346,2025-11-11T04:05:38,2025-11-11T04:42:38,37,weather,Severe thunderstorm with gusts exceeding 110 km/h brought down three 132kV towers across a 1.4 km section of transmission corridor.,Protection settings reviewed and corrected following investigation. Coordination test conducted prior to re-energisation.,0.000207,0.000409
7b8a1492-9cf7-4904-ba7a-f983bc0e65d0,unplanned,QLD,Mackay,242,2024-10-13T16:06:35,2024-10-13T17:18:35,72,third_party,"Excavation contractor struck 11kV underground cable while trenching for gas main — DBYD lodgement confirmed, incorrect as-built drawings contributed to misalignment.",Fault located using TDR and cable sectionalisation. Failed joint excavated and replaced with factory-made joint kit. Pressure test passed.,0.000331,0.00027
76bf846d-d20a-4671-a324-c531dbae79f9,unplanned,NSW,Tamworth,508,2023-01-18T00:32:51,2023-01-18T00:57:51,25,weather,"Bushfire front crossed the transmission corridor, triggering two-pole flashover on 275kV circuit. Pre-emptive public safety power shutoff enacted for 8 feeders.",Temporary bypass cable installed to restore supply while permanent joint repair scheduled. Excavation permit obtained; repair completed within 5 business days.,0.00023,0.000474
029406c1-79ad-4623-83f4-07e7665d8071,emergency,VIC,Geelong,163,2024-10-19T11:07:41,2024-10-19T13:25:41,138,weather,Salt spray deposited on insulator strings during northerly wind event — surface tracking caused fault on 66kV line.,Supply restored via generator bridge while cable fault repaired. Generator demobilised following successful cable repair and testing.,0.000397,0.00019
