work_order_id,asset_id,work_type,priority,status,created_date,completed_date,technician_id,crew_size,description,findings,materials_used,cost_aud,contractor
WO-E2EB6807,511ba36d-1614-403d-a547-92af47a621e5,repair,P4,completed,2022-03-25,2022-07-11,TECH8598,3,"Inspect and service on-load tap changer (OLTC) — check drive mechanism, contacts, and oil compartment.",All connections within specification. No evidence of partial discharge or tracking on insulators.,SCADA RTU backup battery — 12V 7Ah sealed lead-acid (4 off).,37431.86,True
WO-EB5BDA84,ee121fa2-0a1b-4d58-8427-8c7539a42e4d,inspection,P4,cancelled,2024-01-01,,TECH3678,2,Replace deteriorated conductor on 300 m span — conductor grade reduced from AAAC to below acceptable limit.,,No materials consumed — inspection and condition assessment only.,742.47,False
WO-F5A11F0C,9624b7b2-4cc8-498f-8bec-16ee575fff9f,repair,P3,completed,2024-06-27,2024-07-28,TECH4917,4,Inspection and torque-check of all bolted connections on 132kV bus section following conductor galloping incident.,Minor bird nesting detected in cable management duct — removed and deterrent installed.,Pole — Class 3 hardwood 12m (1 off); footings concrete 0.5 m3.,17077.33,False
WO-FF0A6A8F,7a9e9f09-d730-4d56-b3bb-ee4fdb6fb79a,repair,P3,completed,2022-06-25,2022-07-20,TECH9840,4,Cable joint excavation and re-termination at 66kV underground circuit following water ingress identification.,"Meter reading discrepancy noted — field check confirms meter operating correctly, likely data comms issue at head-end.","Battery cells — 2V, 200Ah valve-regulated lead-acid (12 off); terminal grease.",24906.06,False
WO-15EB2DA0,41e63d35-aae3-4e51-892f-2f98fc11c209,emergency,P1,completed,2022-02-13,2022-02-13,TECH4907,1,Earth testing of transmission tower footings — ensure resistance below 10 Ω per specification.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,Spacers — oval-profile 11kV bundled conductor spacer (40 off); installation tool.,15187.06,False
WO-315ADD8D,c606823b-02f1-487f-8dfe-9cec73e30146,inspection,P3,completed,2024-10-24,2024-12-21,TECH6781,1,Inspection and torque-check of all bolted connections on 132kV bus section following conductor galloping incident.,No defects found. Asset in good condition. Recommend next scheduled inspection in 12 months.,No materials consumed — inspection and condition assessment only.,928.0,False
WO-A718EF79,4f0c0e4d-3505-4f37-ab5c-684bc866b9f7,repair,P3,completed,2024-11-29,2024-11-29,TECH8870,3,Upgrade pole-top hardware to meet updated network clearance standards — install insulated cross-arms.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,SCADA RTU backup battery — 12V 7Ah sealed lead-acid (4 off).,15235.36,False
WO-FF99806D,28ef5569-f9ae-4591-9b39-70f2ec44e64c,emergency,P2,completed,2024-01-31,2024-02-02,TECH4090,5,"Substation security audit — CCTV operational, perimeter fencing integrity, lock audit.",Two intermediate cross-arms showing advanced weathering. Replacement required within 6 months to maintain clearance.,"Cross-arm hardwood Class 2, 2.4m (4 off); bolts and washers; galvanised staples.",66201.53,True
WO-D269A416,b114c763-74cc-4f18-ab97-cd26f2007399,repair,P3,completed,2022-07-07,2022-07-10,TECH9953,3,"Substation security audit — CCTV operational, perimeter fencing integrity, lock audit.",OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,"Conductor — ACSR Lark 150mm², 200m; 6 x strain insulators; compression fittings.",10686.32,False
WO-9E807573,3addee2b-bb9c-46a8-9b45-30442ba544a9,emergency,P2,cancelled,2024-06-19,,TECH3667,3,"Ground-level visual inspection of pole line — check for storm damage, vegetation encroachment, and structural defects.",,Spacers — oval-profile 11kV bundled conductor spacer (40 off); installation tool.,153063.85,True
WO-5455C9B1,460193fd-604d-42ce-a645-73ec373238ea,replacement,P3,completed,2023-08-27,2023-09-14,TECH3041,2,Install overhead line spacers on bundled conductor to prevent clashing in high-wind conditions.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,Pole — Class 3 hardwood 12m (1 off); footings concrete 0.5 m3.,19053.49,False
WO-5A080E3D,9ad9cc06-b166-4d00-a2ba-c64ef81502e1,inspection,P3,completed,2022-02-24,2022-04-03,TECH5379,2,Commission new protection scheme for ring feed arrangement — loop automation configuration and testing.,Three fuse links approaching end of service life — replacement scheduled within 30 days.,No materials consumed — inspection and condition assessment only.,1342.36,True
WO-0434443B,dc692a8b-4b23-4d21-a7ba-dbec95e03e70,inspection,P4,in_progress,2025-03-06,,TECH9353,1,"Emergency repair to storm-damaged pole — excavate, set, and back-fill new Class 3 hardwood pole.",Hot spot identified at phase B terminal — thermal image attached. Torque and re-test prior to closing out work order.,No materials consumed — inspection and condition assessment only.,748.86,False
WO-7EDE3BCD,a2d900b9-9864-4caf-b248-ec7c8a2c6bcc,inspection,P3,completed,2022-09-29,2022-10-19,TECH2016,5,Earth testing of transmission tower footings — ensure resistance below 10 Ω per specification.,OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,No materials consumed — inspection and condition assessment only.,4006.8,False
WO-37446F8B,4f908077-58e5-4eb3-9b7b-321f7190dc04,inspection,P4,completed,2024-02-01,2024-02-05,TECH2635,3,Reconductor 2.5 km section of rural feeder — upgrade to larger conductor size to improve voltage regulation.,Hot spot identified at phase B terminal — thermal image attached. Torque and re-test prior to closing out work order.,No materials consumed — inspection and condition assessment only.,2034.52,True
WO-0C0B3DFB,9a6a2867-4f80-4a8d-88c5-bc94e8153c85,inspection,P3,completed,2023-03-02,2023-03-18,TECH6433,2,"Substation security audit — CCTV operational, perimeter fencing integrity, lock audit.",All connections within specification. No evidence of partial discharge or tracking on insulators.,No materials consumed — inspection and condition assessment only.,1653.55,True
WO-F92495BC,0c44c38f-0f7c-4bd6-b02d-f3f18056122d,inspection,P3,completed,2023-07-18,2023-07-25,TECH1836,3,"Switchgear maintenance: lubrication of mechanism, contact resistance measurement, SF6 pressure check.",Three fuse links approaching end of service life — replacement scheduled within 30 days.,No materials consumed — inspection and condition assessment only.,2366.08,True
WO-ACA01DB6,3b84a3ce-97ab-4823-9c7d-588f09f1959c,inspection,P3,completed,2022-09-18,2022-10-13,TECH5697,4,Earth testing of transmission tower footings — ensure resistance below 10 Ω per specification.,Two intermediate cross-arms showing advanced weathering. Replacement required within 6 months to maintain clearance.,No materials consumed — inspection and condition assessment only.,4251.4,True
WO-B2EE8C02,f5fb6f36-aaa8-4eaa-b8fc-dd5a56d8dd4b,replacement,P3,completed,2024-09-28,2024-10-28,TECH3195,3,"Substation security audit — CCTV operational, perimeter fencing integrity, lock audit.",All connections within specification. No evidence of partial discharge or tracking on insulators.,Protection relay — Schneider MiCOM P14D; CT secondary test plugs.,75701.53,False
WO-E0AA2A98,7c9b6269-ac76-4d80-a200-517c1cf1e350,repair,P3,completed,2024-02-20,2024-03-20,TECH7784,1,Inspection and torque-check of all bolted connections on 132kV bus section following conductor galloping incident.,Structure footing exposed by erosion — restore with compacted fill and inspect after next rainfall event.,Protection relay — Schneider MiCOM P14D; CT secondary test plugs.,5364.94,False
WO-69584016,ed2895ab-5dce-47fa-b750-4be6912b0906,replacement,P4,completed,2025-10-04,2025-12-18,TECH9035,1,Scheduled oil sampling and dissolved gas analysis (DGA) on 33kV power transformer. Results pending laboratory analysis.,OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,Pole — Class 3 hardwood 12m (1 off); footings concrete 0.5 m3.,19787.49,False
WO-EE4B5897,9595db8b-c36f-4d3c-8c84-75b0f66354f0,inspection,P3,in_progress,2025-07-22,,TECH1708,4,Clean and test protection relay — calibrate overcurrent and earth-fault trip thresholds per current settings file.,Protection relay trip time confirmed within tolerance. Settings match approved coordination study.,No materials consumed — inspection and condition assessment only.,1712.15,False
WO-1499E873,e7e824fa-07a9-41eb-a86d-61c5864d179f,inspection,P3,completed,2023-01-11,2023-02-06,TECH1759,1,Clean and test protection relay — calibrate overcurrent and earth-fault trip thresholds per current settings file.,OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,No materials consumed — inspection and condition assessment only.,837.92,True
WO-92688EBA,f0bbdfea-641a-47e8-918d-05886aa21af9,repair,P3,completed,2022-08-21,2022-09-02,TECH1006,5,Replace all primary fuse links on overhead distribution feeder following end-of-life assessment.,Protection relay trip time confirmed within tolerance. Settings match approved coordination study.,"Cross-arm hardwood Class 2, 2.4m (4 off); bolts and washers; galvanised staples.",35131.99,False
WO-7C60AA87,093c9994-5388-4ac7-803f-9e074c8d6255,inspection,P1,completed,2024-08-30,2024-09-01,TECH7583,4,Install wildlife protection devices on exposed live conductors at bird-strike-prone section of 11kV overhead line.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,No materials consumed — inspection and condition assessment only.,1680.06,False
WO-0CB038D0,5d8f83e1-f38a-4938-8c90-eae9e500b56a,replacement,P4,completed,2022-02-26,2022-07-20,TECH6048,4,Cable joint excavation and re-termination at 66kV underground circuit following water ingress identification.,Structure footing exposed by erosion — restore with compacted fill and inspect after next rainfall event.,Pole — Class 3 hardwood 12m (1 off); footings concrete 0.5 m3.,42512.37,False
WO-05688235,7d0b8e44-5457-49fc-a7ac-65b07727d8df,inspection,P2,completed,2025-02-18,2025-02-22,TECH5675,4,SCADA RTU battery replacement — UPS autonomy test passed post-replacement.,No defects found. Asset in good condition. Recommend next scheduled inspection in 12 months.,No materials consumed — inspection and condition assessment only.,5811.97,False
WO-0DDA2334,2afdccf6-2402-44ca-b88e-7036ba3facd8,inspection,P3,in_progress,2022-07-30,,TECH2825,3,"Switchgear maintenance: lubrication of mechanism, contact resistance measurement, SF6 pressure check.",OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,No materials consumed — inspection and condition assessment only.,1318.27,False
WO-807EE9CD,6706f3cc-29fe-48b5-8d75-01c18dd04225,inspection,P4,completed,2025-04-15,2025-08-22,TECH9706,2,"Ground-level visual inspection of pole line — check for storm damage, vegetation encroachment, and structural defects.",Hot spot identified at phase B terminal — thermal image attached. Torque and re-test prior to closing out work order.,No materials consumed — inspection and condition assessment only.,1535.58,True
WO-5CA92B6B,511593a3-bc3a-4209-ade5-9e6841c01a79,repair,P4,in_progress,2025-11-15,,TECH3292,3,SCADA RTU battery replacement — UPS autonomy test passed post-replacement.,Structure footing exposed by erosion — restore with compacted fill and inspect after next rainfall event.,Protection relay — Schneider MiCOM P14D; CT secondary test plugs.,10826.9,True
WO-38FE4B4B,f6c4e958-fe8f-4c60-8c5a-25137dfba31f,inspection,P4,in_progress,2023-12-26,,TECH5607,1,Replace all primary fuse links on overhead distribution feeder following end-of-life assessment.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,No materials consumed — inspection and condition assessment only.,1418.42,True
WO-A702EC1A,826f22ab-cbf2-4060-adf4-7896e0960ffc,inspection,P3,completed,2022-12-10,2022-12-17,TECH8289,4,Inspection and torque-check of all bolted connections on 132kV bus section following conductor galloping incident.,Structure footing exposed by erosion — restore with compacted fill and inspect after next rainfall event.,No materials consumed — inspection and condition assessment only.,3612.19,False
WO-AA5F5EAD,71271c5b-9b6a-4b8e-86e7-1e90b846c233,repair,P4,completed,2025-11-22,2025-12-15,TECH8427,5,"Ground-level visual inspection of pole line — check for storm damage, vegetation encroachment, and structural defects.",Protection relay trip time confirmed within tolerance. Settings match approved coordination study.,Earth rod — copper-bonded 16mm x 1.5m (2 off); compression coupler; driving cap.,30877.07,False
WO-D67B1485,88319b57-68b2-4653-bb14-9f9ffa4eade3,inspection,P4,completed,2023-06-04,2023-08-16,TECH3545,2,Clean and test protection relay — calibrate overcurrent and earth-fault trip thresholds per current settings file.,Vegetation clearance adequate for current conditions. Note: summer growth may reduce clearance by October.,No materials consumed — inspection and condition assessment only.,1636.04,True
WO-D54E672F,5ddd2022-661a-4a3d-8d55-b6596bc5d631,emergency,P1,completed,2025-02-03,2025-02-04,TECH3406,3,Annual thermographic inspection of 11kV ring main unit — all connections within acceptable temperature limits.,Corrosion found on earth rod connection — cleaned and re-terminated. Measured resistance: 7.2 Ω (within 10 Ω limit).,No materials consumed — inspection and condition assessment only.,166597.1,True
WO-D87A1589,caeb27dd-01a3-458a-94e2-495d9dc26109,repair,P3,completed,2023-06-05,2023-06-24,TECH8057,2,Upgrade pole-top hardware to meet updated network clearance standards — install insulated cross-arms.,Insulation resistance below threshold — recommend replacement before next scheduled maintenance cycle.,"Conductor — ACSR Lark 150mm², 200m; 6 x strain insulators; compression fittings.",6683.48,True
WO-A654454F,690276b0-9451-425e-b620-502e6931f35d,repair,P3,completed,2022-02-13,2022-03-06,TECH9970,2,Annual thermographic inspection of 11kV ring main unit — all connections within acceptable temperature limits.,"Meter reading discrepancy noted — field check confirms meter operating correctly, likely data comms issue at head-end.",Fuse links — 100A HRC (12 off); fuse carriers; insulating gloves.,10325.83,False
WO-117BF648,d0731ba2-cf69-4959-aef3-695cbb0615c6,repair,P3,completed,2022-07-24,2022-08-25,TECH2371,2,Scheduled oil sampling and dissolved gas analysis (DGA) on 33kV power transformer. Results pending laboratory analysis.,Minor bird nesting detected in cable management duct — removed and deterrent installed.,Fuse links — 100A HRC (12 off); fuse carriers; insulating gloves.,14880.53,False
WO-7048531E,b52b6062-43ad-49b5-8aea-5aa9b0f76d92,inspection,P4,completed,2024-02-02,2024-06-05,TECH9235,2,Clean and test protection relay — calibrate overcurrent and earth-fault trip thresholds per current settings file.,Minor bird nesting detected in cable management duct — removed and deterrent installed.,No materials consumed — inspection and condition assessment only.,2896.58,False
WO-B2C0E634,615a2314-5584-44ad-b11f-67a654192e48,inspection,P3,completed,2024-02-26,2024-03-17,TECH1055,2,"Inspect and service on-load tap changer (OLTC) — check drive mechanism, contacts, and oil compartment.",OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,No materials consumed — inspection and condition assessment only.,1437.36,True
WO-A00664B3,bbd04356-9a7f-4250-bf7b-65319cdce822,emergency,P2,completed,2023-08-02,2023-08-06,TECH2930,2,Install wildlife protection devices on exposed live conductors at bird-strike-prone section of 11kV overhead line.,"Meter reading discrepancy noted — field check confirms meter operating correctly, likely data comms issue at head-end.","Cable joint kit — heat-shrink straight joint, 11kV XLPE (2 off); joint compound.",22242.13,False
WO-1F60A68A,66b344e5-dd3c-4053-82b5-597575abfe3a,repair,P2,completed,2023-07-25,2023-08-01,TECH6716,3,"Inspect and service on-load tap changer (OLTC) — check drive mechanism, contacts, and oil compartment.",Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,SCADA RTU backup battery — 12V 7Ah sealed lead-acid (4 off).,11577.27,False
WO-3A9B874E,3af158f6-f4b1-4e84-a2af-c8b0ef0d6984,inspection,P4,completed,2025-08-17,2025-09-11,TECH2941,2,Install wildlife protection devices on exposed live conductors at bird-strike-prone section of 11kV overhead line.,Protection relay trip time confirmed within tolerance. Settings match approved coordination study.,No materials consumed — inspection and condition assessment only.,3213.76,False
WO-98D66E20,64b2d3a6-c068-4045-9253-7047d3b3338d,inspection,P1,completed,2022-11-07,2022-11-07,TECH9211,3,Replace deteriorated conductor on 300 m span — conductor grade reduced from AAAC to below acceptable limit.,Hot spot identified at phase B terminal — thermal image attached. Torque and re-test prior to closing out work order.,No materials consumed — inspection and condition assessment only.,1768.56,False
WO-C52B7453,5fde9fa0-6f9b-4b10-ad0e-1c94e437a179,inspection,P4,completed,2024-06-14,2024-11-28,TECH9739,2,SCADA RTU battery replacement — UPS autonomy test passed post-replacement.,Three fuse links approaching end of service life — replacement scheduled within 30 days.,No materials consumed — inspection and condition assessment only.,1797.65,True
WO-FAD18C5D,f1a9fdd3-56a0-4cb6-a1bc-0bb45e3f4119,inspection,P2,completed,2023-02-20,2023-03-01,TECH3185,3,Replace deteriorated conductor on 300 m span — conductor grade reduced from AAAC to below acceptable limit.,Minor bird nesting detected in cable management duct — removed and deterrent installed.,No materials consumed — inspection and condition assessment only.,2122.56,False
WO-4157485B,4ae931ac-5418-4f01-a11a-d5f48e07765b,emergency,P1,completed,2023-08-05,2023-08-05,TECH6729,1,Inspection and torque-check of all bolted connections on 132kV bus section following conductor galloping incident.,Vegetation clearance adequate for current conditions. Note: summer growth may reduce clearance by October.,"Cross-arm hardwood Class 2, 2.4m (4 off); bolts and washers; galvanised staples.",24287.8,False
WO-65135A4A,9e0f84b5-7377-47ac-84a5-84b0689b64f1,inspection,P1,completed,2024-06-13,2024-06-14,TECH1196,3,"Emergency repair to storm-damaged pole — excavate, set, and back-fill new Class 3 hardwood pole.",Oil sample shows elevated dissolved hydrogen: 85 ppm. Repeat DGA in 3 months; schedule investigation if trend continues.,No materials consumed — inspection and condition assessment only.,4056.52,False
WO-1F5B47E4,45c7114e-f6f9-4eee-a30a-c17b5d35cb53,inspection,P3,completed,2023-07-19,2023-08-15,TECH5183,3,"Emergency repair to storm-damaged pole — excavate, set, and back-fill new Class 3 hardwood pole.",Structure footing exposed by erosion — restore with compacted fill and inspect after next rainfall event.,No materials consumed — inspection and condition assessment only.,2657.17,True
WO-9E92EFDD,6f833c47-3330-430a-ac8c-93b04f69435e,inspection,P4,cancelled,2025-09-27,,TECH2336,4,"Substation security audit — CCTV operational, perimeter fencing integrity, lock audit.",,No materials consumed — inspection and condition assessment only.,7242.2,False
WO-D5CF2A57,7fee4e09-0d50-491a-9d57-d24a43e41650,replacement,P3,completed,2025-02-21,2025-02-28,TECH2663,3,Upgrade pole-top hardware to meet updated network clearance standards — install insulated cross-arms.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,Fuse links — 100A HRC (12 off); fuse carriers; insulating gloves.,79797.65,False
WO-A7A2F403,d5612de5-d5b7-427e-a1f5-b1148d905bdb,inspection,P4,completed,2024-03-09,2024-07-04,TECH4936,4,Replace deteriorated conductor on 300 m span — conductor grade reduced from AAAC to below acceptable limit.,Minor bird nesting detected in cable management duct — removed and deterrent installed.,No materials consumed — inspection and condition assessment only.,3372.47,False
WO-7F771DF5,1b0f4488-167e-476c-b791-cbbabb5ea54a,inspection,P3,completed,2023-02-03,2023-02-25,TECH7398,3,Cable joint excavation and re-termination at 66kV underground circuit following water ingress identification.,All connections within specification. No evidence of partial discharge or tracking on insulators.,No materials consumed — inspection and condition assessment only.,2311.3,True
WO-51047AF6,037eab1e-ccb1-4615-80e6-9f4151336ec8,inspection,P3,completed,2023-01-01,2023-01-05,TECH3219,2,Reconductor 2.5 km section of rural feeder — upgrade to larger conductor size to improve voltage regulation.,Three fuse links approaching end of service life — replacement scheduled within 30 days.,No materials consumed — inspection and condition assessment only.,1827.06,True
WO-E82E7F02,79628125-146c-4a10-bcf3-3e2057fbfd6b,repair,P3,in_progress,2023-11-08,,TECH7623,3,"Emergency repair to storm-damaged pole — excavate, set, and back-fill new Class 3 hardwood pole.",All connections within specification. No evidence of partial discharge or tracking on insulators.,Pole — Class 3 hardwood 12m (1 off); footings concrete 0.5 m3.,8243.44,True
WO-4CA329C9,e6e1f974-80e6-419f-b298-7c1e2db889ba,inspection,P1,completed,2023-11-25,2023-11-26,TECH2934,3,Replace all primary fuse links on overhead distribution feeder following end-of-life assessment.,Oil sample shows elevated dissolved hydrogen: 85 ppm. Repeat DGA in 3 months; schedule investigation if trend continues.,No materials consumed — inspection and condition assessment only.,1572.09,False
WO-6EA7028B,7bdd6563-dce4-47e7-b9ad-5ddc218d531f,repair,P2,completed,2024-12-15,2024-12-15,TECH1027,3,Install wildlife protection devices on exposed live conductors at bird-strike-prone section of 11kV overhead line.,"Meter reading discrepancy noted — field check confirms meter operating correctly, likely data comms issue at head-end.",No materials consumed — inspection and condition assessment only.,18274.28,False
WO-18B8A21F,fe8c0cff-7ea5-4ef3-8abd-fd22968fd041,inspection,P2,open,2025-05-23,,TECH9534,2,Replace all primary fuse links on overhead distribution feeder following end-of-life assessment.,,No materials consumed — inspection and condition assessment only.,2311.34,False
WO-A1CB82EF,814ba6b6-e1bf-412f-9f20-abec768ae404,inspection,P3,open,2022-07-08,,TECH5464,3,Upgrade pole-top hardware to meet updated network clearance standards — install insulated cross-arms.,,No materials consumed — inspection and condition assessment only.,1413.79,True
WO-E74F5103,20a8524b-bdea-4a92-9cb7-a1d798a2be33,inspection,P3,completed,2025-11-23,2025-12-07,TECH6210,4,Inspection and torque-check of all bolted connections on 132kV bus section following conductor galloping incident.,"Meter reading discrepancy noted — field check confirms meter operating correctly, likely data comms issue at head-end.",No materials consumed — inspection and condition assessment only.,4512.98,False
WO-12FD9B01,062167bd-cdcb-4b0c-b3cf-8cf261ce8485,repair,P3,completed,2024-12-25,2024-12-27,TECH6224,5,Replace all primary fuse links on overhead distribution feeder following end-of-life assessment.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,"Conductor — ACSR Lark 150mm², 200m; 6 x strain insulators; compression fittings.",20972.87,False
WO-3DBAD8E3,99318528-defa-4898-9c6f-1f44902bb832,emergency,P1,completed,2023-07-12,2023-07-14,TECH1945,3,Clean and test protection relay — calibrate overcurrent and earth-fault trip thresholds per current settings file.,Insulation resistance below threshold — recommend replacement before next scheduled maintenance cycle.,Earth rod — copper-bonded 16mm x 1.5m (2 off); compression coupler; driving cap.,53785.09,False
WO-28BEEE3A,e2dad83b-82d7-46a0-a013-7fbcfe350e74,emergency,P2,completed,2022-07-17,2022-07-21,TECH7764,2,Battery string replacement in protection DC system — individual cell voltage and internal resistance within specification.,Cable sheath integrity verified — no evidence of moisture ingress. Joint resealed with approved compound.,Spacers — oval-profile 11kV bundled conductor spacer (40 off); installation tool.,44087.97,False
WO-1C62A053,33ecf7e5-b47b-4a03-8c5f-6a5972ae8d10,replacement,P2,completed,2025-07-09,2025-07-18,TECH3418,6,"Inspect and service on-load tap changer (OLTC) — check drive mechanism, contacts, and oil compartment.",OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,"Battery cells — 2V, 200Ah valve-regulated lead-acid (12 off); terminal grease.",154075.51,True
WO-A2B56CDA,a198e732-5997-4fa7-a23b-c312675c1b13,inspection,P3,completed,2024-05-10,2024-07-09,TECH9483,3,Install wildlife protection devices on exposed live conductors at bird-strike-prone section of 11kV overhead line.,OLTC mechanism stiff on positions 3 and 4. Apply approved lubricant — retest confirmed full range of travel.,No materials consumed — inspection and condition assessment only.,3061.74,False
WO-7046E7CE,511593a3-bc3a-4209-ade5-9e6841c01a79,inspection,P4,completed,2025-03-03,2025-06-24,TECH8377,2,Clean and test protection relay — calibrate overcurrent and earth-fault trip thresholds per current settings file.,Two intermediate cross-arms showing advanced weathering. Replacement required within 6 months to maintain clearance.,No materials consumed — inspection and condition assessment only.,1802.06,False
WO-F54E9D42,45c7114e-f6f9-4eee-a30a-c17b5d35cb53,inspection,P3,in_progress,2022-11-21,,TECH7728,4,Install overhead line spacers on bundled conductor to prevent clashing in high-wind conditions.,No defects found. Asset in good condition. Recommend next scheduled inspection in 12 months.,No materials consumed — inspection and condition assessment only.,3723.06,False
WO-2759BBFC,64eedc25-6873-457a-a2f5-90253094ed49,inspection,P3,completed,2023-04-13,2023-05-21,TECH7600,4,Clean and test protection relay — calibrate overcurrent and earth-fault trip thresholds per current settings file.,Corrosion found on earth rod connection — cleaned and re-terminated. Measured resistance: 7.2 Ω (within 10 Ω limit).,No materials consumed — inspection and condition assessment only.,2027.46,True
WO-1B295085,ee121fa2-0a1b-4d58-8427-8c7539a42e4d,inspection,P2,completed,2023-10-27,2023-11-04,TECH2039,4,"Ground-level visual inspection of pole line — check for storm damage, vegetation encroachment, and structural defects.",Vegetation clearance adequate for current conditions. Note: summer growth may reduce clearance by October.,No materials consumed — inspection and condition assessment only.,3982.39,False
WO-CA0FC35E,f4006624-3db8-467d-8ded-7917cf5dbb50,repair,P3,cancelled,2024-12-06,,TECH6409,2,SCADA RTU battery replacement — UPS autonomy test passed post-replacement.,,Fuse links — 100A HRC (12 off); fuse carriers; insulating gloves.,7495.68,False
WO-408C0EDE,f15708e0-23cf-4aa7-8eca-df79fd4d0253,inspection,P3,completed,2023-07-22,2023-07-31,TECH7923,2,"Switchgear maintenance: lubrication of mechanism, contact resistance measurement, SF6 pressure check.",Structure footing exposed by erosion — restore with compacted fill and inspect after next rainfall event.,No materials consumed — inspection and condition assessment only.,3591.25,False
