report_id,report_type,reporting_period,region,jurisdiction,submission_date,submitted_by,status,report_content,compliance_status
RPT-3612FA3C,SAIFI_annual,FY2425,QLD,QLD,2025-07-31,J.Thornton@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2425. System Average Interruption Frequency Index: 0.8579 interruptions per customer. Regulatory target: 107.5000 interruptions per customer. Status: within. Total customer-interruptions recorded: 7,922. Frequency performance improvement of 4.6% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-D415B1BF,SAIDI_monthly,2024-06,SA,SA,2025-02-04,D.O'Brien@regulation.com.au,rejected,"Monthly SAIDI Performance Report — 2024-06. Total System Average Interruption Duration Index for the reporting period: 101.40 minutes. Target threshold per Distribution Licence Condition 7.3: 115.9 minutes. Performance is within target. Major contributing event categories: equipment failure (28%), weather-related (30%), vegetation (42%). Three significant outage events contributed 59% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",non_compliant
RPT-C6B0A251,AER_performance,FY2526,NSW,NSW,2025-12-01,F.Nakamura@corp.com.au,accepted,"AER Annual Performance Report — FY2526. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $163.4M (approved allowance: $152.2M). Operating expenditure: $155.1M (approved allowance: $155.5M). Network reliability: SAIDI 82.67 min (target 112.5 min), SAIFI 0.8809 (target 1.8173). Customer complaints: 2667 (prior year: 625). Demand-side participation programme enrolled 3,200 customers, reducing peak demand by 34.3 MW. Pricing methodology compliant with approved tariff structure statement.",pending_review
RPT-23459CD4,AER_performance,FY2425,SA,SA,2025-11-08,R.Krishnamurthy@network.com.au,accepted,"AER Annual Performance Report — FY2425. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $117.5M (approved allowance: $123.4M). Operating expenditure: $193.8M (approved allowance: $182.6M). Network reliability: SAIDI 33.08 min (target 99.4 min), SAIFI 1.0872 (target 1.2627). Customer complaints: 2250 (prior year: 80). Demand-side participation programme enrolled 2,836 customers, reducing peak demand by 44.4 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-45136AFE,SAIDI_monthly,2022-05,VIC,VIC,2022-08-27,D.O'Brien@regulation.com.au,accepted,"Monthly SAIDI Performance Report — 2022-05. Total System Average Interruption Duration Index for the reporting period: 77.88 minutes. Target threshold per Distribution Licence Condition 7.3: 103.4 minutes. Performance is within target. Major contributing event categories: equipment failure (27%), weather-related (39%), vegetation (34%). Three significant outage events contributed 35% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-VIC and F83-VIC. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",pending_review
RPT-83DB73A8,ESC_compliance,Q1-2022,VIC,VIC,2025-10-26,F.Nakamura@corp.com.au,accepted,"Energy and Water Ombudsman / ESC Compliance Report — Q1-2022. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 1164. Complaints resolved within 10 business days: 89%. Unplanned interruptions — guaranteed service levels met: 98%. GSL payments made: 3 totalling $41,118. Wrongful disconnection events: 1. Hardship programme enrolments: 1,107. Planned interruption notice compliance: 99% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-541E6473,ESC_compliance,Q2-2022,VIC,VIC,2024-05-03,S.Mehta@regulation.com.au,submitted,"Energy and Water Ombudsman / ESC Compliance Report — Q2-2022. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 2973. Complaints resolved within 10 business days: 91%. Unplanned interruptions — guaranteed service levels met: 97%. GSL payments made: 67 totalling $30,469. Wrongful disconnection events: 3. Hardship programme enrolments: 1,704. Planned interruption notice compliance: 99% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-7019A3A0,AER_performance,FY2223,SA,SA,2025-06-01,P.Kavanagh@network.com.au,accepted,"AER Annual Performance Report — FY2223. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $341.0M (approved allowance: $389.0M). Operating expenditure: $174.0M (approved allowance: $196.8M). Network reliability: SAIDI 80.60 min (target 95.6 min), SAIFI 0.6263 (target 1.3507). Customer complaints: 1613 (prior year: 1011). Demand-side participation programme enrolled 6,669 customers, reducing peak demand by 16.2 MW. Pricing methodology compliant with approved tariff structure statement.",pending_review
RPT-6EE7DADF,SAIDI_monthly,2022-07,NSW,NSW,2025-11-05,S.Mehta@regulation.com.au,accepted,"Monthly SAIDI Performance Report — 2022-07. Total System Average Interruption Duration Index for the reporting period: 108.94 minutes. Target threshold per Distribution Licence Condition 7.3: 102.4 minutes. Performance is exceeding target. Major contributing event categories: equipment failure (32%), weather-related (37%), vegetation (31%). Three significant outage events contributed 41% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-NSW and F83-NSW. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-07BD371E,ESC_compliance,Q1-2023,VIC,VIC,2024-02-18,L.Anderson@corp.com.au,accepted,"Energy and Water Ombudsman / ESC Compliance Report — Q1-2023. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 2834. Complaints resolved within 10 business days: 96%. Unplanned interruptions — guaranteed service levels met: 98%. GSL payments made: 112 totalling $45,023. Wrongful disconnection events: 1. Hardship programme enrolments: 235. Planned interruption notice compliance: 89% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-4E8E6166,AEMO_market,Q1-2024,VIC,AEMO,2025-09-08,A.Vasquez@network.com.au,accepted,"AEMO Market Operations Report — Q1-2024. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 971.2 GWh. Demand response activations: 17 events, total volume 387.7 MWh. Frequency performance: 97.2% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 9. Causer pays liability for period: $109,266. Market systems availability: 99.74%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-46823E5B,SAIFI_annual,FY2425,SA,SA,2025-11-19,F.Nakamura@corp.com.au,submitted,"Annual SAIFI Performance Summary — Financial Year FY2425. System Average Interruption Frequency Index: 0.4491 interruptions per customer. Regulatory target: 97.2000 interruptions per customer. Status: within. Total customer-interruptions recorded: 151,137. Frequency performance improvement of 2.0% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-16216BEB,AEMO_market,Q1-2025,NSW,AEMO,2025-11-06,C.Williamson@regulation.com.au,accepted,"AEMO Market Operations Report — Q1-2025. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 4005.2 GWh. Demand response activations: 13 events, total volume 44.9 MWh. Frequency performance: 96.7% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 2. Causer pays liability for period: $56,909. Market systems availability: 99.11%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-2310FE90,AER_performance,FY2324,QLD,QLD,2025-12-31,C.Williamson@regulation.com.au,accepted,"AER Annual Performance Report — FY2324. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $270.8M (approved allowance: $257.8M). Operating expenditure: $149.7M (approved allowance: $161.2M). Network reliability: SAIDI 47.90 min (target 122.1 min), SAIFI 1.7435 (target 1.6694). Customer complaints: 421 (prior year: 1975). Demand-side participation programme enrolled 6,430 customers, reducing peak demand by 27.3 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-5123FBAE,AEMO_market,Q4-2024,VIC,AEMO,2025-07-04,C.Williamson@regulation.com.au,accepted,"AEMO Market Operations Report — Q4-2024. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 3269.1 GWh. Demand response activations: 10 events, total volume 458.4 MWh. Frequency performance: 99.7% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 10. Causer pays liability for period: $65,566. Market systems availability: 99.21%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-1737079B,SAIFI_annual,FY2324,SA,SA,2024-09-11,J.Thornton@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2324. System Average Interruption Frequency Index: 1.4502 interruptions per customer. Regulatory target: 113.9000 interruptions per customer. Status: within. Total customer-interruptions recorded: 111,536. Frequency performance improvement of 10.9% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-CB7D11CF,AER_performance,FY2526,NSW,NSW,2025-11-06,S.Mehta@regulation.com.au,accepted,"AER Annual Performance Report — FY2526. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $329.0M (approved allowance: $393.6M). Operating expenditure: $158.4M (approved allowance: $170.6M). Network reliability: SAIDI 84.20 min (target 126.6 min), SAIFI 1.7948 (target 1.3589). Customer complaints: 573 (prior year: 528). Demand-side participation programme enrolled 1,384 customers, reducing peak demand by 45.1 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-CACBFB46,SAIFI_annual,FY2223,VIC,VIC,2023-08-21,A.Vasquez@network.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 1.6460 interruptions per customer. Regulatory target: 131.6000 interruptions per customer. Status: within. Total customer-interruptions recorded: 112,968. Frequency performance improvement of -1.7% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-E96D0A0E,AER_performance,FY2324,SA,SA,2024-09-29,D.O'Brien@regulation.com.au,accepted,"AER Annual Performance Report — FY2324. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $223.8M (approved allowance: $233.8M). Operating expenditure: $129.5M (approved allowance: $140.8M). Network reliability: SAIDI 29.65 min (target 134.3 min), SAIFI 1.7790 (target 1.5644). Customer complaints: 2989 (prior year: 2573). Demand-side participation programme enrolled 7,685 customers, reducing peak demand by 9.1 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-DF4EE378,SAIDI_monthly,2025-07,VIC,VIC,2026-01-04,S.Mehta@regulation.com.au,accepted,"Monthly SAIDI Performance Report — 2025-07. Total System Average Interruption Duration Index for the reporting period: 28.00 minutes. Target threshold per Distribution Licence Condition 7.3: 99.6 minutes. Performance is within target. Major contributing event categories: equipment failure (37%), weather-related (40%), vegetation (23%). Three significant outage events contributed 37% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-VIC and F83-VIC. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",non_compliant
RPT-760FD6A4,SAIDI_monthly,2022-06,QLD,QLD,2025-06-20,J.Thornton@network.com.au,accepted,"Monthly SAIDI Performance Report — 2022-06. Total System Average Interruption Duration Index for the reporting period: 47.88 minutes. Target threshold per Distribution Licence Condition 7.3: 103.3 minutes. Performance is within target. Major contributing event categories: equipment failure (41%), weather-related (31%), vegetation (28%). Three significant outage events contributed 56% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-QLD and F83-QLD. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
RPT-24E40F3A,ESC_compliance,Q3-2025,VIC,VIC,2025-12-22,P.Kavanagh@network.com.au,accepted,"Energy and Water Ombudsman / ESC Compliance Report — Q3-2025. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 2407. Complaints resolved within 10 business days: 90%. Unplanned interruptions — guaranteed service levels met: 95%. GSL payments made: 18 totalling $38,919. Wrongful disconnection events: 6. Hardship programme enrolments: 4,914. Planned interruption notice compliance: 89% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",pending_review
RPT-5166F565,AEMO_market,Q2-2023,WA,AEMO,2023-09-12,A.Vasquez@network.com.au,accepted,"AEMO Market Operations Report — Q2-2023. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 1213.1 GWh. Demand response activations: 5 events, total volume 353.9 MWh. Frequency performance: 96.4% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 3. Causer pays liability for period: $6,263. Market systems availability: 99.69%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-B184A8FA,AER_performance,FY2324,VIC,VIC,2023-11-01,C.Williamson@regulation.com.au,accepted,"AER Annual Performance Report — FY2324. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $184.3M (approved allowance: $177.1M). Operating expenditure: $115.0M (approved allowance: $109.0M). Network reliability: SAIDI 101.12 min (target 105.9 min), SAIFI 0.4060 (target 1.8100). Customer complaints: 1324 (prior year: 810). Demand-side participation programme enrolled 4,555 customers, reducing peak demand by 10.6 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-5591CDD2,AEMO_market,Q3-2025,NSW,AEMO,2026-01-02,J.Thornton@network.com.au,accepted,"AEMO Market Operations Report — Q3-2025. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 3952.2 GWh. Demand response activations: 14 events, total volume 397.5 MWh. Frequency performance: 98.9% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 10. Causer pays liability for period: $192,705. Market systems availability: 99.22%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-E25BB9FC,AER_performance,FY2223,VIC,VIC,2025-01-02,P.Kavanagh@network.com.au,accepted,"AER Annual Performance Report — FY2223. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $326.0M (approved allowance: $369.9M). Operating expenditure: $198.7M (approved allowance: $226.5M). Network reliability: SAIDI 42.16 min (target 107.1 min), SAIFI 1.7336 (target 1.2368). Customer complaints: 735 (prior year: 321). Demand-side participation programme enrolled 3,710 customers, reducing peak demand by 74.6 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-FBCD3243,AEMO_market,Q2-2024,SA,AEMO,2024-02-18,L.Anderson@corp.com.au,accepted,"AEMO Market Operations Report — Q2-2024. Submitted in accordance with NER clause 3.7.4 and AEMO Participant Guidelines. Total metered energy injected to NEM: 4856.0 GWh. Demand response activations: 12 events, total volume 176.7 MWh. Frequency performance: 98.0% of settlement intervals within ±0.15 Hz. Dispatch non-compliance events: 1. Causer pays liability for period: $62,816. Market systems availability: 99.18%. Data quality validation completed; no material errors or omissions identified. All metering data submitted within statutory timeframes.",compliant
RPT-321942CE,SAIFI_annual,FY2223,QLD,QLD,2023-03-14,C.Williamson@regulation.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 0.6617 interruptions per customer. Regulatory target: 81.2000 interruptions per customer. Status: within. Total customer-interruptions recorded: 120,997. Frequency performance improvement of 2.6% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-D2F4D70E,ESC_compliance,Q2-2022,VIC,VIC,2023-12-22,S.Mehta@regulation.com.au,submitted,"Energy and Water Ombudsman / ESC Compliance Report — Q2-2022. Submitted pursuant to Electricity Distribution Code s4.2 and Electricity Industry Act 2000 (Vic). Customer complaints received: 1043. Complaints resolved within 10 business days: 90%. Unplanned interruptions — guaranteed service levels met: 95%. GSL payments made: 114 totalling $26,452. Wrongful disconnection events: 10. Hardship programme enrolments: 1,082. Planned interruption notice compliance: 98% (minimum 4 business days' notice). Privacy compliance: no reportable data breaches under the Privacy Act 1988 during the period. Report certified by Chief Regulatory Officer and submitted via ESC Online portal.",compliant
RPT-B15ABE5D,AER_performance,FY2425,NSW,NSW,2025-08-15,J.Thornton@network.com.au,accepted,"AER Annual Performance Report — FY2425. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $316.1M (approved allowance: $288.7M). Operating expenditure: $81.3M (approved allowance: $75.7M). Network reliability: SAIDI 55.94 min (target 105.1 min), SAIFI 1.3551 (target 1.7572). Customer complaints: 1765 (prior year: 1121). Demand-side participation programme enrolled 2,103 customers, reducing peak demand by 34.3 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-05100AB7,SAIFI_annual,FY2223,SA,SA,2023-02-03,L.Anderson@corp.com.au,accepted,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 1.1925 interruptions per customer. Regulatory target: 95.6000 interruptions per customer. Status: exceeding. Total customer-interruptions recorded: 57,016. Frequency performance improvement of -3.8% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-9BB18205,AER_performance,FY2324,VIC,VIC,2025-07-23,C.Williamson@regulation.com.au,accepted,"AER Annual Performance Report — FY2324. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $380.8M (approved allowance: $364.2M). Operating expenditure: $69.0M (approved allowance: $71.6M). Network reliability: SAIDI 90.37 min (target 131.4 min), SAIFI 1.4783 (target 1.4059). Customer complaints: 1301 (prior year: 2314). Demand-side participation programme enrolled 5,075 customers, reducing peak demand by 32.7 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-D03B5549,SAIFI_annual,FY2223,VIC,VIC,2024-06-21,R.Krishnamurthy@network.com.au,draft,"Annual SAIFI Performance Summary — Financial Year FY2223. System Average Interruption Frequency Index: 0.5598 interruptions per customer. Regulatory target: 101.2000 interruptions per customer. Status: exceeding. Total customer-interruptions recorded: 37,248. Frequency performance improvement of 11.4% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-DCBBBC8B,AER_performance,FY2223,WA,WA,2024-08-20,R.Krishnamurthy@network.com.au,draft,"AER Annual Performance Report — FY2223. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $195.8M (approved allowance: $199.7M). Operating expenditure: $75.3M (approved allowance: $76.9M). Network reliability: SAIDI 45.16 min (target 105.5 min), SAIFI 1.0000 (target 1.8597). Customer complaints: 1801 (prior year: 1128). Demand-side participation programme enrolled 7,996 customers, reducing peak demand by 46.7 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-649D0BED,SAIFI_annual,FY2324,WA,WA,2024-02-20,J.Thornton@network.com.au,submitted,"Annual SAIFI Performance Summary — Financial Year FY2324. System Average Interruption Frequency Index: 0.9541 interruptions per customer. Regulatory target: 114.9000 interruptions per customer. Status: within. Total customer-interruptions recorded: 84,954. Frequency performance improvement of 1.6% achieved compared to prior year through targeted pole-line vegetation management programme and overhead line automation upgrades. Detailed event-level data appended as Schedule 1 per AER Electricity Distribution Network Service Providers Reporting Guidelines. Report prepared by Network Regulation team and certified by General Manager Network Services.",compliant
RPT-62DB08E1,AER_performance,FY2223,QLD,QLD,2022-09-27,D.O'Brien@regulation.com.au,accepted,"AER Annual Performance Report — FY2223. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $359.8M (approved allowance: $379.0M). Operating expenditure: $106.0M (approved allowance: $101.5M). Network reliability: SAIDI 119.37 min (target 86.1 min), SAIFI 0.6747 (target 1.2237). Customer complaints: 2727 (prior year: 2324). Demand-side participation programme enrolled 5,232 customers, reducing peak demand by 47.2 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-8F777AEF,AER_performance,FY2425,WA,WA,2025-03-18,R.Krishnamurthy@network.com.au,draft,"AER Annual Performance Report — FY2425. Submitted pursuant to the National Electricity Rules clause 7.3.1 and Distribution Determination obligations. Capital expenditure for the period: $140.2M (approved allowance: $144.0M). Operating expenditure: $125.8M (approved allowance: $125.6M). Network reliability: SAIDI 111.89 min (target 108.0 min), SAIFI 0.4609 (target 1.2661). Customer complaints: 1259 (prior year: 1426). Demand-side participation programme enrolled 6,496 customers, reducing peak demand by 44.2 MW. Pricing methodology compliant with approved tariff structure statement.",compliant
RPT-4F6BFDCA,SAIDI_monthly,2022-01,SA,SA,2025-02-02,S.Mehta@regulation.com.au,draft,"Monthly SAIDI Performance Report — 2022-01. Total System Average Interruption Duration Index for the reporting period: 33.69 minutes. Target threshold per Distribution Licence Condition 7.3: 81.2 minutes. Performance is within target. Major contributing event categories: equipment failure (28%), weather-related (25%), vegetation (47%). Three significant outage events contributed 49% of total SAIDI. Corrective action plans active for reliability hotspot feeders F47-SA and F83-SA. Next reporting period data to be submitted by the 15th of the following month in accordance with AER reporting guidelines.",compliant
